cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,294.168,292.888,292.319,295.483,0.000,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,293.215,291.952,291.297,290.705,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,293.130,291.862,291.141,289.637,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,293.163,291.906,291.305,290.090,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,293.198,291.951,291.470,290.562,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,293.170,291.930,291.368,290.542,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,293.157,291.926,291.278,290.600,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,293.116,291.891,291.158,290.508,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,293.104,291.886,291.064,290.560,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,293.074,291.861,290.967,290.524,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,293.065,291.857,290.887,290.598,0.000,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,293.041,291.838,290.792,290.589,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,293.041,291.844,290.740,290.678,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,293.016,291.825,290.669,290.622,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.996,291.811,290.602,290.586,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,292.949,291.771,290.514,290.412,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,292.927,291.755,290.446,290.370,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,292.888,291.723,290.370,290.257,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,292.869,291.709,290.310,290.252,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,292.834,291.680,290.236,290.151,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,292.815,291.666,290.175,290.149,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,292.781,291.638,290.105,290.051,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,292.764,291.626,290.048,290.054,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,292.732,291.599,289.979,289.962,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,292.719,291.592,289.947,289.973,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,292.694,291.574,289.911,289.902,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,292.689,291.575,289.890,289.955,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,292.670,291.563,289.856,289.905,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,292.668,291.566,289.836,289.956,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,292.648,291.554,289.815,289.892,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,292.647,291.558,289.808,289.937,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,292.629,291.547,289.788,289.872,0.000,287.457,99681.125,288.177,100090.045,
2004-06-01 02:40:00,292.630,291.554,289.782,289.921,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,292.614,291.544,289.772,289.855,0.000,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,292.617,291.552,289.777,289.907,0.000,287.464,99678.750,288.189,100090.029,
2004-06-01 02:55:00,292.601,291.544,289.767,289.840,0.000,287.466,99677.958,288.186,100090.027,
2004-06-01 03:00:00,292.597,291.545,289.748,289.894,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,292.574,291.529,289.723,289.839,0.000,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,292.575,291.534,289.714,289.920,0.000,287.467,99678.917,288.245,100089.950,
2004-06-01 03:15:00,292.555,291.521,289.691,289.880,0.000,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,292.556,291.526,289.682,289.963,0.000,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,292.535,291.511,289.657,289.915,0.000,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,292.536,291.516,289.647,289.994,0.000,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,292.515,291.502,289.622,289.945,0.000,287.462,99683.292,288.393,100089.754,
2004-06-01 03:40:00,292.517,291.507,289.612,290.028,0.000,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,292.497,291.493,289.588,289.980,0.000,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,292.499,291.499,289.579,290.066,0.000,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,292.479,291.485,289.555,290.019,0.000,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,292.476,291.486,289.531,290.106,0.000,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,292.442,291.458,289.485,290.005,0.000,287.467,99687.667,288.510,100089.620,
2004-06-01 04:10:00,292.422,291.443,289.449,289.988,0.000,287.476,99687.667,288.437,100089.710,
2004-06-01 04:15:00,292.373,291.401,289.395,289.825,0.000,287.486,99687.667,288.358,100089.793,
2004-06-01 04:20:00,292.353,291.385,289.361,289.828,0.000,287.495,99687.667,288.308,100089.854,
2004-06-01 04:25:00,292.309,291.348,289.304,289.720,0.000,287.504,99687.667,288.261,100089.907,
2004-06-01 04:30:00,292.290,291.334,289.265,289.758,0.000,287.513,99687.667,288.234,100089.946,
2004-06-01 04:35:00,292.247,291.296,289.208,289.656,0.000,287.523,99687.667,288.199,100089.983,
2004-06-01 04:40:00,292.227,291.280,289.169,289.692,0.000,287.532,99687.667,288.180,100090.011,
2004-06-01 04:45:00,292.182,291.242,289.107,289.588,0.000,287.541,99687.667,288.151,100090.040,
2004-06-01 04:50:00,292.161,291.225,289.063,289.626,0.000,287.550,99687.667,288.137,100090.059,
2004-06-01 04:55:00,292.116,291.185,289.001,289.524,0.000,287.559,99687.667,288.113,100090.082,
2004-06-01 05:00:00,292.099,291.173,288.986,289.566,180.884,287.569,99687.667,288.104,100090.095,
2004-06-01 05:05:00,292.153,291.228,289.024,290.034,166.364,287.585,99689.319,288.566,100089.907,
2004-06-01 05:10:00,292.140,291.220,289.013,290.093,167.604,287.600,99690.972,288.592,100089.908,
2004-06-01 05:15:00,292.070,291.160,288.949,289.752,79.503,287.616,99692.625,288.416,100090.015,
2004-06-01 05:20:00,292.003,291.101,288.886,289.433,75.142,287.632,99694.278,288.135,100090.174,
2004-06-01 05:25:00,291.080,291.974,288.896,289.303,73.261,287.648,99695.931,288.061,100090.237,
2004-06-01 05:30:00,291.109,291.999,288.950,289.477,75.797,287.664,99697.583,288.064,100090.257,
2004-06-01 05:35:00,291.066,291.946,288.931,289.165,71.189,287.680,99699.236,288.045,100090.282,
2004-06-01 05:40:00,291.097,291.972,288.978,289.291,73.551,287.695,99700.889,288.020,100090.310,
2004-06-01 05:45:00,291.052,291.919,288.977,288.976,68.971,287.711,99702.542,287.965,100090.352,
2004-06-01 05:50:00,291.090,291.952,289.051,289.134,71.421,287.727,99704.194,287.948,100090.376,
2004-06-01 05:55:00,291.057,291.912,289.058,288.884,67.518,287.743,99705.847,287.910,100090.409,
2004-06-01 06:00:00,291.100,291.951,289.134,289.061,141.226,287.759,99707.500,287.906,100090.424,
2004-06-01 06:05:00,291.104,291.949,289.186,289.004,69.606,287.805,99709.000,288.012,100090.393,
2004-06-01 06:10:00,291.105,291.977,289.246,289.005,69.454,287.850,99710.500,287.887,100090.476,
2004-06-01 06:15:00,291.098,291.966,289.285,288.882,67.328,287.896,99712.000,287.859,100090.514,
2004-06-01 06:20:00,291.185,292.046,289.406,289.240,73.107,287.942,99713.500,287.918,100090.508,
2004-06-01 06:25:00,291.166,292.022,289.442,289.009,69.663,287.988,99715.000,287.891,100090.541,
2004-06-01 06:30:00,292.116,291.290,289.611,289.265,73.422,288.033,99716.500,287.919,100090.549,
2004-06-01 06:35:00,292.129,291.341,289.702,289.090,71.071,288.079,99718.000,287.894,100090.582,
2004-06-01 06:40:00,292.227,291.476,289.872,289.350,75.080,288.125,99719.500,287.919,100090.590,
2004-06-01 06:45:00,292.238,291.529,289.980,289.134,71.729,288.170,99721.000,287.889,100090.625,
2004-06-01 06:50:00,292.346,291.677,290.177,289.401,75.550,288.216,99722.500,287.911,100090.636,
2004-06-01 06:55:00,292.357,291.737,290.281,289.176,72.417,288.262,99724.000,287.878,100090.672,
2004-06-01 07:00:00,292.485,291.898,290.484,289.437,152.750,288.308,99725.500,287.896,100090.683,
2004-06-01 07:05:00,292.565,292.012,290.661,289.430,157.412,288.370,99729.069,288.060,100090.616,
2004-06-01 07:10:00,292.704,292.185,290.894,289.721,85.514,288.432,99732.639,288.125,100090.591,
2004-06-01 07:15:00,292.717,292.229,291.003,289.312,79.761,288.495,99736.208,287.926,100090.696,
2004-06-01 07:20:00,292.890,292.433,291.257,289.713,86.207,288.557,99739.778,287.986,100090.682,
2004-06-01 07:25:00,292.959,292.530,291.442,289.563,84.523,288.620,99743.347,288.027,100090.669,
2004-06-01 07:30:00,293.124,292.744,291.723,289.898,90.010,288.682,99746.917,288.091,100090.643,
2004-06-01 07:35:00,293.194,292.862,291.918,289.694,87.111,288.745,99750.486,288.106,100090.640,
2004-06-01 07:40:00,293.371,293.087,292.206,290.056,93.125,288.807,99754.056,288.167,100090.617,
2004-06-01 07:45:00,293.449,293.212,292.436,289.850,90.375,288.869,99757.625,288.188,100090.611,
2004-06-01 07:50:00,293.633,293.443,292.756,290.215,96.014,288.932,99761.194,288.249,100090.585,
2004-06-01 07:55:00,293.716,293.571,292.990,289.995,93.282,288.994,99764.764,288.269,100090.578,
2004-06-01 08:00:00,293.895,293.987,293.306,290.367,95.177,289.057,99768.333,288.328,100090.552,
2004-06-01 08:05:00,293.972,294.133,293.562,290.151,92.359,289.178,99768.653,288.380,100090.481,
2004-06-01 08:10:00,294.166,294.397,293.915,290.579,98.745,289.299,99768.972,288.506,100090.369,
2004-06-01 08:15:00,294.253,294.542,294.178,290.396,96.626,289.420,99769.292,288.600,100090.270,
2004-06-01 08:20:00,294.453,294.803,294.535,290.839,103.124,289.541,99769.611,288.731,100090.153,
2004-06-01 08:25:00,294.543,294.943,294.824,290.651,100.525,289.663,99769.931,288.825,100090.053,
2004-06-01 08:30:00,294.754,295.188,295.201,291.104,107.094,289.784,99770.250,288.958,100089.936,
2004-06-01 08:35:00,294.853,295.310,295.481,290.914,104.615,289.905,99770.569,289.056,100089.833,
2004-06-01 08:40:00,295.068,295.551,295.857,291.367,111.313,290.026,99770.889,289.190,100089.714,
2004-06-01 08:45:00,295.170,295.667,296.156,291.175,109.121,290.148,99771.208,289.290,100089.609,
2004-06-01 08:50:00,295.390,295.903,296.551,291.628,115.814,290.269,99771.528,289.424,100089.488,
2004-06-01 08:55:00,295.495,296.015,296.849,291.440,113.777,290.390,99771.847,289.525,100089.382,
2004-06-01 09:00:00,295.720,296.247,297.249,291.886,119.159,290.511,99772.167,289.658,100089.261,
2004-06-01 09:05:00,295.832,296.359,297.571,291.705,117.341,290.634,99772.333,289.771,100089.132,
2004-06-01 09:10:00,296.067,296.596,297.993,292.194,123.993,290.757,99772.500,289.944,100088.974,
2004-06-01 09:15:00,296.190,296.713,298.319,292.052,122.951,290.879,99772.667,290.093,100088.825,
2004-06-01 09:20:00,296.480,296.820,298.738,292.531,129.627,291.002,99772.833,290.270,100088.662,
2004-06-01 09:25:00,296.616,296.926,299.080,292.380,128.636,291.125,99773.000,290.413,100088.514,
2004-06-01 09:30:00,296.785,297.242,299.493,292.839,135.081,291.248,99773.167,290.582,100088.355,
2004-06-01 09:35:00,296.891,297.340,299.815,292.688,133.605,291.370,99773.333,290.720,100088.209,
2004-06-01 09:40:00,297.105,297.549,300.226,293.124,139.790,291.493,99773.500,290.880,100088.053,
2004-06-01 09:45:00,297.211,297.640,300.556,292.977,138.523,291.616,99773.667,291.014,100087.908,
2004-06-01 09:50:00,297.421,297.836,300.973,293.396,144.050,291.739,99773.833,291.170,100087.754,
2004-06-01 09:55:00,297.527,297.920,301.305,293.252,142.940,291.861,99774.000,291.298,100087.612,
2004-06-01 10:00:00,297.719,298.093,301.682,293.655,149.856,291.984,99774.167,291.449,100087.460,
2004-06-01 10:05:00,297.803,298.150,301.971,293.492,148.063,292.045,99773.639,291.535,100087.388,
2004-06-01 10:10:00,297.971,298.292,302.331,293.779,151.915,292.106,99773.111,291.573,100087.347,
2004-06-01 10:15:00,298.037,298.326,302.608,293.567,148.956,292.167,99772.583,291.583,100087.323,
2004-06-01 10:20:00,298.198,298.455,302.965,293.851,152.398,292.228,99772.056,291.618,100087.288,
2004-06-01 10:25:00,298.261,298.480,303.227,293.662,149.564,292.289,99771.528,291.642,100087.258,
2004-06-01 10:30:00,298.416,298.593,303.541,293.957,152.956,292.350,99771.000,291.688,100087.218,
2004-06-01 10:35:00,298.471,298.602,303.773,293.772,150.127,292.411,99770.472,291.714,100087.186,
2004-06-01 10:40:00,298.620,298.705,304.084,294.060,153.460,292.472,99769.944,291.758,100087.146,
2004-06-01 10:45:00,298.670,298.706,304.291,293.880,150.624,292.533,99769.417,291.784,100087.114,
2004-06-01 10:50:00,298.814,298.799,304.580,294.160,153.780,292.594,99768.889,291.825,100087.075,
2004-06-01 10:55:00,298.859,298.791,304.782,293.976,150.817,292.655,99768.361,291.846,100087.045,
2004-06-01 11:00:00,299.022,298.900,305.138,294.247,150.861,292.715,99767.833,291.883,100087.007,
2004-06-01 11:05:00,298.945,299.140,305.402,294.080,148.291,292.812,99766.264,291.932,100086.920,
2004-06-01 11:10:00,299.090,299.352,305.755,294.401,151.983,292.909,99764.694,292.038,100086.799,
2004-06-01 11:15:00,299.153,299.488,306.031,294.274,150.037,293.005,99763.125,292.134,100086.682,
2004-06-01 11:20:00,299.304,299.711,306.382,294.582,153.666,293.102,99761.556,292.242,100086.559,
2004-06-01 11:25:00,299.373,299.859,306.675,294.453,152.273,293.198,99759.986,292.330,100086.446,
2004-06-01 11:30:00,299.516,300.079,307.012,294.745,156.214,293.295,99758.417,292.435,100086.325,
2004-06-01 11:35:00,299.581,300.225,307.281,294.625,154.650,293.391,99756.847,292.521,100086.212,
2004-06-01 11:40:00,299.723,300.447,307.615,294.898,157.994,293.488,99755.278,292.622,100086.093,
2004-06-01 11:45:00,299.792,300.601,307.890,294.788,156.376,293.584,99753.708,292.706,100085.981,
2004-06-01 11:50:00,299.931,300.824,308.224,295.044,159.520,293.681,99752.139,292.803,100085.864,
2004-06-01 11:55:00,300.001,300.983,308.501,294.938,157.872,293.777,99750.569,292.884,100085.754,
2004-06-01 12:00:00,300.125,301.188,308.780,295.179,166.969,293.874,99749.000,292.977,100085.638,
2004-06-01 12:05:00,300.187,301.335,309.002,295.103,165.925,293.961,99745.653,293.079,100085.516,
2004-06-01 12:10:00,300.306,301.537,309.272,295.328,169.826,294.048,99742.306,293.171,100085.398,
2004-06-01 12:15:00,300.363,301.681,309.492,295.240,168.581,294.136,99738.958,293.252,100085.286,
2004-06-01 12:20:00,300.479,301.881,309.759,295.459,172.448,294.223,99735.611,293.344,100085.168,
2004-06-01 12:25:00,300.536,302.025,309.959,295.379,171.222,294.310,99732.264,293.426,100085.056,
2004-06-01 12:30:00,300.636,302.207,310.176,295.582,174.749,294.397,99728.917,293.515,100084.940,
2004-06-01 12:35:00,300.681,302.334,310.348,295.508,173.503,294.485,99725.569,293.595,100084.828,
2004-06-01 12:40:00,300.778,302.511,310.563,295.704,176.931,294.572,99722.222,293.684,100084.712,
2004-06-01 12:45:00,300.821,302.636,310.712,295.638,175.052,294.659,99718.875,293.765,100084.600,
2004-06-01 12:50:00,300.912,302.806,310.901,295.821,177.659,294.746,99715.528,293.850,100084.486,
2004-06-01 12:55:00,300.952,302.926,311.050,295.757,176.146,294.834,99712.181,293.927,100084.376,
2004-06-01 13:00:00,301.036,303.089,311.230,295.930,175.735,294.921,99708.833,294.011,100084.263,
2004-06-01 13:05:00,301.067,303.199,311.347,295.841,174.368,294.933,99706.833,294.046,100084.205,
2004-06-01 13:10:00,301.167,303.376,311.520,296.113,179.746,294.946,99704.833,294.181,100084.107,
2004-06-01 13:15:00,301.233,303.518,311.665,296.207,182.087,294.958,99702.833,294.356,100083.986,
2004-06-01 13:20:00,301.337,303.698,311.841,296.506,187.854,294.971,99700.833,294.533,100083.859,
2004-06-01 13:25:00,301.398,303.834,311.964,296.557,188.938,294.983,99698.833,294.682,100083.743,
2004-06-01 13:30:00,301.480,303.983,312.084,296.771,193.986,294.995,99696.833,294.809,100083.637,
2004-06-01 13:35:00,301.521,304.090,312.171,296.776,194.366,295.008,99694.833,294.912,100083.542,
2004-06-01 13:40:00,301.589,304.222,312.281,296.925,199.037,295.020,99692.833,294.995,100083.457,
2004-06-01 13:45:00,301.617,304.313,312.338,296.894,198.777,295.032,99690.833,295.064,100083.379,
2004-06-01 13:50:00,301.673,304.430,312.417,297.003,202.946,295.045,99688.833,295.118,100083.309,
2004-06-01 13:55:00,301.691,304.507,312.470,296.947,202.398,295.057,99686.833,295.164,100083.243,
2004-06-01 14:00:00,301.723,304.576,312.457,297.035,205.223,295.070,99684.833,295.200,100083.183,
2004-06-01 14:05:00,301.700,304.586,312.370,296.881,202.728,294.960,99685.083,295.113,100083.304,
2004-06-01 14:10:00,301.728,304.645,312.324,296.982,205.703,294.851,99685.333,295.087,100083.414,
2004-06-01 14:15:00,301.704,304.644,312.241,296.868,204.150,294.742,99685.583,295.029,100083.527,
2004-06-01 14:20:00,301.718,304.680,312.191,296.941,206.691,294.632,99685.833,294.981,100083.628,
2004-06-01 14:25:00,301.682,304.658,312.045,296.803,204.755,294.523,99686.083,294.908,100083.737,
2004-06-01 14:30:00,301.610,305.117,312.277,296.863,208.167,294.414,99686.333,294.843,100083.840,
2004-06-01 14:35:00,301.568,305.372,312.460,296.729,207.357,294.305,99686.583,294.774,100083.942,
2004-06-01 14:40:00,301.568,305.673,312.672,296.801,210.779,294.195,99686.833,294.719,100084.033,
2004-06-01 14:45:00,301.432,306.158,312.890,296.670,210.472,294.086,99687.083,294.655,100084.125,
2004-06-01 14:50:00,301.436,306.492,313.141,296.754,214.291,293.977,99687.333,294.609,100084.205,
2004-06-01 14:55:00,301.323,306.942,313.335,296.624,213.922,293.867,99687.583,294.550,100084.287,
2004-06-01 15:00:00,301.292,307.319,313.500,296.716,221.084,293.758,99687.833,294.512,100084.356,
2004-06-01 15:05:00,301.166,307.901,313.657,296.636,221.763,293.731,99688.792,294.520,100084.345,
2004-06-01 15:10:00,301.191,308.036,313.808,296.588,223.312,293.705,99689.750,294.398,100084.391,
2004-06-01 15:15:00,301.149,308.379,313.962,296.607,225.639,293.678,99690.708,294.455,100084.358,
2004-06-01 15:20:00,301.127,308.736,314.126,296.712,230.110,293.651,99691.667,294.462,100084.345,
2004-06-01 15:25:00,301.110,309.090,314.275,296.827,234.550,293.624,99692.625,294.599,100084.267,
2004-06-01 15:30:00,301.078,309.229,314.162,296.962,238.975,293.598,99693.583,294.647,100084.226,
2004-06-01 15:35:00,301.038,309.332,314.039,297.053,241.817,293.571,99694.542,294.754,100084.158,
2004-06-01 15:40:00,301.016,309.515,313.926,297.180,246.233,293.544,99695.500,294.802,100084.117,
2004-06-01 15:45:00,300.977,309.586,313.731,297.268,249.124,293.517,99696.458,294.901,100084.050,
2004-06-01 15:50:00,300.953,309.669,313.554,297.412,253.551,293.491,99697.417,294.970,100083.996,
2004-06-01 15:55:00,300.916,309.705,313.365,297.506,256.521,293.464,99698.375,295.068,100083.926,
2004-06-01 16:00:00,300.917,309.897,313.427,297.659,251.862,293.437,99699.333,295.149,100083.862,
2004-06-01 16:05:00,300.890,310.045,313.409,297.706,251.995,293.365,99702.056,295.185,100083.851,
2004-06-01 16:10:00,300.873,310.203,313.401,297.801,255.249,293.292,99704.778,295.200,100083.856,
2004-06-01 16:15:00,300.831,310.334,313.362,297.804,256.766,293.219,99707.500,295.202,100083.867,
2004-06-01 16:20:00,300.802,310.475,313.334,297.860,260.480,293.146,99710.222,295.195,100083.881,
2004-06-01 16:25:00,300.746,310.585,313.299,297.836,261.098,293.074,99712.944,295.182,100083.899,
2004-06-01 16:30:00,300.730,310.621,313.197,297.872,263.435,293.001,99715.667,295.161,100083.922,
2004-06-01 16:35:00,300.694,310.619,313.076,297.834,263.075,292.928,99718.389,295.137,100083.947,
2004-06-01 16:40:00,300.674,310.632,312.973,297.859,264.843,292.855,99721.111,295.108,100083.976,
2004-06-01 16:45:00,300.635,310.600,312.826,297.810,264.126,292.782,99723.833,295.077,100084.007,
2004-06-01 16:50:00,300.613,310.584,312.696,297.825,265.371,292.710,99726.556,295.041,100084.041,
2004-06-01 16:55:00,300.572,310.526,312.548,297.764,264.367,292.637,99729.278,295.001,100084.077,
2004-06-01 17:00:00,300.547,310.460,312.383,297.772,226.161,292.564,99732.000,294.957,100084.117,
2004-06-01 17:05:00,300.493,310.343,312.164,297.665,221.683,292.447,99736.292,294.943,100083.968,
2004-06-01 17:10:00,300.055,309.819,311.564,295.936,196.813,292.330,99740.583,293.525,100084.705,
2004-06-01 17:15:00,299.880,309.557,311.281,295.512,189.579,292.213,99744.875,293.217,100084.986,
2004-06-01 17:20:00,299.689,309.216,311.031,295.222,183.893,292.096,99749.167,292.951,100085.213,
2004-06-01 17:25:00,299.526,308.948,310.690,294.889,178.087,291.979,99753.458,292.732,100085.410,
2004-06-01 17:30:00,299.358,308.496,310.177,294.647,172.241,291.862,99757.750,292.524,100085.602,
2004-06-01 17:35:00,299.183,308.014,309.672,294.384,166.169,291.744,99762.042,292.328,100085.791,
2004-06-01 17:40:00,299.027,307.554,309.194,294.193,161.233,291.627,99766.333,292.140,100085.976,
2004-06-01 17:45:00,298.852,307.036,308.637,293.926,155.570,291.510,99770.625,291.945,100086.164,
2004-06-01 17:50:00,298.695,306.543,308.108,293.737,151.149,291.393,99774.917,291.754,100086.350,
2004-06-01 17:55:00,298.493,305.809,307.572,293.458,146.449,291.276,99779.208,291.556,100086.540,
2004-06-01 18:00:00,298.343,305.328,307.110,293.259,142.252,291.159,99783.500,291.361,100086.728,
2004-06-01 18:05:00,298.183,304.801,306.600,293.028,138.314,291.147,99786.653,291.260,100086.765,
2004-06-01 18:10:00,298.045,304.164,306.127,292.931,136.549,291.134,99789.806,291.212,100086.766,
2004-06-01 18:15:00,297.894,303.639,305.641,292.717,133.244,291.122,99792.958,291.158,100086.768,
2004-06-01 18:20:00,297.750,303.012,305.188,292.618,131.557,291.109,99796.111,291.115,100086.765,
2004-06-01 18:25:00,297.598,302.400,304.718,292.409,128.198,291.097,99799.264,291.064,100086.764,
2004-06-01 18:30:00,297.487,302.111,304.422,292.394,127.551,291.084,99802.417,291.062,100086.739,
2004-06-01 18:35:00,297.379,301.836,304.121,292.377,126.550,291.072,99805.569,291.090,100086.698,
2004-06-01 18:40:00,297.294,301.583,303.837,292.482,127.520,291.060,99808.722,291.138,100086.644,
2004-06-01 18:45:00,297.195,301.352,303.578,292.465,126.715,291.047,99811.875,291.176,100086.593,
2004-06-01 18:50:00,297.114,301.139,303.331,292.548,127.454,291.035,99815.028,291.219,100086.538,
2004-06-01 18:55:00,297.017,300.935,303.062,292.519,126.555,291.022,99818.181,291.255,100086.483,
2004-06-01 19:00:00,296.931,300.726,302.767,292.606,127.368,291.010,99821.333,291.303,100086.421,
2004-06-01 19:05:00,296.826,300.518,302.493,292.581,127.424,290.981,99825.708,291.339,100086.370,
2004-06-01 19:10:00,296.743,300.331,302.235,292.676,128.216,290.951,99830.083,291.385,100086.315,
2004-06-01 19:15:00,296.633,300.131,301.954,292.628,127.802,290.921,99834.458,291.418,100086.265,
2004-06-01 19:20:00,296.544,299.951,301.687,292.693,128.835,290.892,99838.833,291.457,100086.214,
2004-06-01 19:25:00,296.430,299.759,301.412,292.632,127.879,290.862,99843.208,291.487,100086.166,
2004-06-01 19:30:00,296.360,299.617,301.198,292.678,128.334,290.833,99847.583,291.514,100086.127,
2004-06-01 19:35:00,296.263,299.458,300.963,292.571,127.347,290.803,99851.958,291.519,100086.102,
2004-06-01 19:40:00,296.212,299.344,300.759,292.726,129.286,290.774,99856.333,291.549,100086.070,
2004-06-01 19:45:00,296.176,299.122,300.548,292.658,128.127,290.744,99860.708,291.571,100086.043,
2004-06-01 19:50:00,296.121,299.013,300.357,292.764,129.092,290.715,99865.083,291.594,100086.017,
2004-06-01 19:55:00,296.041,298.866,300.139,292.664,128.073,290.685,99869.458,291.599,100086.002,
2004-06-01 20:00:00,295.902,298.772,299.826,292.723,128.141,290.656,99873.833,291.606,100085.989,
2004-06-01 20:05:00,295.771,298.578,299.502,292.603,126.589,290.624,99878.583,291.585,100086.004,
2004-06-01 20:10:00,295.667,298.410,299.199,292.629,126.861,290.593,99883.333,291.572,100086.012,
2004-06-01 20:15:00,295.537,298.214,298.884,292.543,126.084,290.561,99888.083,291.561,100086.016,
2004-06-01 20:20:00,295.435,298.047,298.592,292.606,127.003,290.530,99892.833,291.572,100086.006,
2004-06-01 20:25:00,295.312,297.858,298.260,292.562,126.855,290.498,99897.583,291.585,100085.989,
2004-06-01 20:30:00,297.703,295.222,297.966,292.647,128.162,290.466,99902.333,291.617,100085.957,
2004-06-01 20:35:00,297.546,295.128,297.687,292.628,127.755,290.435,99907.083,291.653,100085.913,
2004-06-01 20:40:00,297.413,295.059,297.431,292.731,129.022,290.403,99911.833,291.711,100085.848,
2004-06-01 20:45:00,297.272,294.979,297.165,292.745,129.716,290.372,99916.583,291.784,100085.759,
2004-06-01 20:50:00,297.158,294.926,296.927,292.889,132.115,290.340,99921.333,291.894,100085.629,
2004-06-01 20:55:00,297.042,294.868,296.682,292.969,134.174,290.308,99926.083,292.043,100085.448,
2004-06-01 21:00:00,297.007,294.864,296.540,293.199,0.000,290.277,99930.833,292.264,100085.184,
2004-06-01 21:05:00,296.817,294.700,296.273,292.590,0.000,290.169,99936.490,291.637,100085.803,
2004-06-01 21:10:00,296.678,294.585,296.050,292.212,0.000,290.061,99942.147,291.176,100086.306,
2004-06-01 21:15:00,296.537,294.462,295.838,291.883,0.000,289.953,99947.804,290.861,100086.665,
2004-06-01 21:20:00,296.438,294.382,295.660,291.770,0.000,289.846,99953.461,290.642,100086.937,
2004-06-01 21:25:00,296.332,294.289,295.477,291.581,0.000,289.738,99959.118,290.451,100087.172,
2004-06-01 21:30:00,296.243,294.214,295.309,291.489,0.000,289.630,99964.775,290.285,100087.381,
2004-06-01 21:35:00,296.141,294.121,295.122,291.274,0.000,289.522,99970.432,290.116,100087.582,
2004-06-01 21:40:00,296.204,294.200,295.062,292.020,0.000,289.415,99976.089,290.095,100087.699,
2004-06-01 21:45:00,296.206,294.213,294.966,292.300,0.000,289.307,99981.746,289.998,100087.845,
2004-06-01 21:50:00,296.179,294.197,294.846,292.423,0.000,289.199,99987.403,289.882,100087.996,
2004-06-01 21:55:00,296.095,294.118,294.673,292.108,0.000,289.091,99993.060,289.781,100088.141,
2004-06-01 22:00:00,296.021,294.079,294.530,292.063,0.000,288.983,99998.717,289.666,100088.289,
2004-06-01 22:05:00,295.890,293.982,294.370,291.738,0.000,288.934,100000.587,289.589,100088.371,
2004-06-01 22:10:00,295.657,293.781,294.128,290.859,0.000,288.885,100002.458,289.409,100088.502,
