cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,300.000,300.000,300.000,296.075,58.334,100223.354,74.936,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,299.873,299.873,298.230,292.010,77.748,100229.093,24.150,287.334,99731.472,290.171,100087.887,
2004-06-01 00:10:00,299.604,299.604,295.929,290.888,84.247,100229.724,10.087,287.334,99729.111,289.710,100088.120,
2004-06-01 00:15:00,299.148,299.148,293.227,291.285,82.328,100229.654,13.597,287.334,99726.750,289.721,100088.142,
2004-06-01 00:20:00,298.723,298.723,291.544,291.660,80.602,100229.485,16.928,287.334,99724.389,289.797,100088.085,
2004-06-01 00:25:00,298.400,298.400,290.486,291.756,80.192,100229.440,17.152,287.334,99722.028,289.825,100088.077,
2004-06-01 00:30:00,298.159,298.159,289.739,291.759,80.206,100229.403,16.381,287.334,99719.667,289.847,100088.046,
2004-06-01 00:35:00,297.965,297.965,289.113,291.645,80.550,100229.593,14.336,287.333,99717.306,289.750,100088.186,
2004-06-01 00:40:00,297.799,297.799,288.550,291.445,81.078,100229.893,11.378,287.333,99714.944,289.575,100088.393,
2004-06-01 00:45:00,297.650,297.650,288.042,291.210,81.660,100230.213,8.056,287.333,99712.583,289.384,100088.606,
2004-06-01 00:50:00,297.508,297.508,287.584,291.043,81.928,100230.458,5.561,287.333,99710.222,289.234,100088.772,
2004-06-01 00:55:00,297.371,297.371,287.170,290.928,81.992,100230.666,2.007,287.333,99707.861,289.110,100088.920,
2004-06-01 01:00:00,297.239,297.239,286.796,290.844,81.977,100230.830,0.532,287.333,99705.500,289.009,100089.039,
2004-06-01 01:05:00,297.115,297.115,286.456,290.770,81.997,100230.960,0.239,287.342,99703.931,288.931,100089.131,
2004-06-01 01:10:00,297.000,297.000,286.174,290.727,81.928,100231.058,0.239,287.351,99702.361,288.873,100089.204,
2004-06-01 01:15:00,296.893,296.893,285.944,290.659,82.002,100231.166,0.239,287.360,99700.792,288.812,100089.282,
2004-06-01 01:20:00,296.795,296.795,285.761,290.601,82.044,100231.265,0.239,287.369,99699.222,288.755,100089.352,
2004-06-01 01:25:00,296.702,296.702,285.623,290.523,82.508,100231.375,0.239,287.378,99697.653,288.693,100089.428,
2004-06-01 01:30:00,296.615,296.615,285.522,290.462,82.809,100231.474,0.239,287.387,99696.083,288.636,100089.498,
2004-06-01 01:35:00,296.532,296.532,285.454,290.390,83.048,100231.579,0.239,287.396,99694.514,288.576,100089.571,
2004-06-01 01:40:00,296.453,296.453,285.416,290.335,83.147,100231.674,0.239,287.405,99692.944,288.521,100089.639,
2004-06-01 01:45:00,296.378,296.378,285.402,290.271,83.266,100231.773,0.239,287.414,99691.375,288.464,100089.708,
2004-06-01 01:50:00,296.306,296.306,285.410,290.221,83.306,100231.863,0.239,287.423,99689.806,288.412,100089.772,
2004-06-01 01:55:00,296.237,296.237,285.437,290.160,83.395,100231.956,0.060,287.432,99688.236,288.358,100089.838,
2004-06-01 02:00:00,296.170,296.170,285.481,290.113,83.408,100232.042,0.060,287.441,99686.667,288.308,100089.900,
2004-06-01 02:05:00,296.107,296.107,285.540,290.076,83.450,100232.075,0.060,287.444,99685.875,288.286,100089.919,
2004-06-01 02:10:00,296.044,296.044,285.589,290.074,83.361,100232.087,0.060,287.446,99685.083,288.279,100089.928,
2004-06-01 02:15:00,295.983,295.983,285.630,290.062,83.350,100232.101,0.060,287.448,99684.292,288.272,100089.938,
2004-06-01 02:20:00,295.924,295.924,285.665,290.055,83.327,100232.114,0.060,287.450,99683.500,288.265,100089.947,
2004-06-01 02:25:00,295.867,295.867,285.695,290.028,83.092,100232.134,0.060,287.453,99682.708,288.255,100089.959,
2004-06-01 02:30:00,295.812,295.812,285.722,290.013,82.877,100232.149,0.060,287.455,99681.917,288.246,100089.968,
2004-06-01 02:35:00,295.759,295.759,285.745,289.986,82.841,100232.168,0.060,287.457,99681.125,288.236,100089.978,
2004-06-01 02:40:00,295.706,295.706,285.766,289.973,82.795,100232.182,0.060,287.460,99680.333,288.228,100089.987,
2004-06-01 02:45:00,295.654,295.654,285.784,289.948,82.847,100232.199,0.060,287.462,99679.542,288.219,100089.996,
2004-06-01 02:50:00,295.603,295.603,285.802,289.937,82.846,100232.211,0.060,287.464,99678.750,288.212,100090.004,
2004-06-01 02:55:00,295.554,295.554,285.819,289.912,82.926,100232.227,0.060,287.466,99677.958,288.205,100090.011,
2004-06-01 03:00:00,295.505,295.505,285.836,289.902,82.932,100232.238,0.060,287.469,99677.167,288.198,100090.018,
