cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,0.000,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.280,0.000,287.334,99731.472,290.001,100087.961,
2004-06-01 00:10:00,290.367,0.000,287.334,99729.111,289.598,100088.175,
2004-06-01 00:15:00,290.554,0.000,287.334,99726.750,289.572,100088.215,
2004-06-01 00:20:00,290.777,0.000,287.334,99724.389,289.598,100088.183,
2004-06-01 00:25:00,290.798,0.000,287.334,99722.028,289.590,100088.193,
2004-06-01 00:30:00,290.868,0.000,287.334,99719.667,289.608,100088.166,
2004-06-01 00:35:00,290.780,0.000,287.333,99717.306,289.531,100088.294,
2004-06-01 00:40:00,290.682,0.000,287.333,99714.944,289.387,100088.485,
2004-06-01 00:45:00,290.443,0.000,287.333,99712.583,289.210,100088.691,
2004-06-01 00:50:00,290.315,0.000,287.333,99710.222,289.070,100088.853,
2004-06-01 00:55:00,290.156,0.000,287.333,99707.861,288.946,100089.001,
2004-06-01 01:00:00,290.115,0.000,287.333,99705.500,288.854,100089.115,
2004-06-01 01:05:00,290.005,0.000,287.342,99703.931,288.776,100089.208,
2004-06-01 01:10:00,290.000,0.000,287.351,99702.361,288.721,100089.280,
2004-06-01 01:15:00,289.893,0.000,287.360,99700.792,288.657,100089.359,
2004-06-01 01:20:00,289.882,0.000,287.369,99699.222,288.604,100089.428,
2004-06-01 01:25:00,289.765,0.000,287.378,99697.653,288.540,100089.504,
2004-06-01 01:30:00,289.754,0.000,287.387,99696.083,288.487,100089.572,
2004-06-01 01:35:00,289.639,0.000,287.396,99694.514,288.425,100089.646,
2004-06-01 01:40:00,289.636,0.000,287.405,99692.944,288.374,100089.712,
2004-06-01 01:45:00,289.525,0.000,287.414,99691.375,288.315,100089.782,
2004-06-01 01:50:00,289.528,0.000,287.423,99689.806,288.267,100089.845,
2004-06-01 01:55:00,289.419,0.000,287.432,99688.236,288.210,100089.912,
2004-06-01 02:00:00,289.428,0.000,287.441,99686.667,288.165,100089.971,
2004-06-01 02:05:00,289.339,0.000,287.444,99685.875,288.138,100089.993,
2004-06-01 02:10:00,289.392,0.000,287.446,99685.083,288.134,100090.001,
2004-06-01 02:15:00,289.324,0.000,287.448,99684.292,288.123,100090.013,
2004-06-01 02:20:00,289.381,0.000,287.450,99683.500,288.122,100090.020,
2004-06-01 02:25:00,289.299,0.000,287.453,99682.708,288.108,100090.032,
2004-06-01 02:30:00,289.350,0.000,287.455,99681.917,288.105,100090.039,
2004-06-01 02:35:00,289.264,0.000,287.457,99681.125,288.091,100090.051,
2004-06-01 02:40:00,289.319,0.000,287.460,99680.333,288.089,100090.057,
2004-06-01 02:45:00,289.232,0.000,287.462,99679.542,288.075,100090.068,
2004-06-01 02:50:00,289.290,0.000,287.464,99678.750,288.074,100090.073,
2004-06-01 02:55:00,289.202,0.000,287.466,99677.958,288.062,100090.083,
2004-06-01 03:00:00,289.264,0.000,287.469,99677.167,288.062,100090.087,
2004-06-01 03:05:00,289.183,0.000,287.468,99678.042,288.065,100090.071,
2004-06-01 03:10:00,289.267,0.000,287.467,99678.917,288.090,100090.043,
2004-06-01 03:15:00,289.200,0.000,287.466,99679.792,288.105,100090.019,
2004-06-01 03:20:00,289.288,0.000,287.465,99680.667,288.131,100089.991,
2004-06-01 03:25:00,289.211,0.000,287.464,99681.542,288.142,100089.970,
2004-06-01 03:30:00,289.294,0.000,287.463,99682.417,288.165,100089.945,
2004-06-01 03:35:00,289.214,0.000,287.462,99683.292,288.174,100089.927,
2004-06-01 03:40:00,289.298,0.000,287.462,99684.167,288.195,100089.903,
2004-06-01 03:45:00,289.215,0.000,287.461,99685.042,288.203,100089.886,
2004-06-01 03:50:00,289.300,0.000,287.460,99685.917,288.224,100089.864,
2004-06-01 03:55:00,289.770,0.000,287.459,99686.792,288.279,100089.829,
2004-06-01 04:00:00,290.188,0.000,287.458,99687.667,288.301,100089.810,
2004-06-01 04:05:00,290.156,0.000,287.467,99687.667,288.298,100089.824,
2004-06-01 04:10:00,290.280,0.000,287.476,99687.667,288.294,100089.843,
2004-06-01 04:15:00,290.112,0.000,287.486,99687.667,288.263,100089.873,
2004-06-01 04:20:00,290.190,0.000,287.495,99687.667,288.234,100089.904,
2004-06-01 04:25:00,289.999,0.000,287.504,99687.667,288.193,100089.938,
2004-06-01 04:30:00,290.094,0.000,287.513,99687.667,288.170,100089.964,
2004-06-01 04:35:00,289.903,0.000,287.523,99687.667,288.142,100089.991,
2004-06-01 04:40:00,290.027,0.000,287.532,99687.667,288.132,100090.008,
2004-06-01 04:45:00,289.832,0.000,287.541,99687.667,288.111,100090.028,
2004-06-01 04:50:00,289.977,0.000,287.550,99687.667,288.105,100090.041,
2004-06-01 04:55:00,289.773,0.000,287.559,99687.667,288.086,100090.058,
2004-06-01 05:00:00,289.938,40.641,287.569,99687.667,288.084,100090.068,
2004-06-01 05:05:00,289.949,40.739,287.585,99689.319,288.333,100089.969,
2004-06-01 05:10:00,290.215,21.248,287.600,99690.972,288.443,100089.907,
2004-06-01 05:15:00,289.934,20.376,287.616,99692.625,288.338,100089.944,
2004-06-01 05:20:00,290.094,20.960,287.632,99694.278,288.292,100089.978,
2004-06-01 05:25:00,289.860,20.231,287.648,99695.931,288.267,100090.001,
2004-06-01 05:30:00,290.088,21.017,287.664,99697.583,288.269,100090.009,
2004-06-01 05:35:00,289.868,20.315,287.680,99699.236,288.265,100090.016,
2004-06-01 05:40:00,289.457,18.777,287.695,99700.889,288.137,100090.082,
2004-06-01 05:45:00,288.731,15.907,287.711,99702.542,287.999,100090.160,
2004-06-01 05:50:00,288.823,16.164,287.727,99704.194,287.975,100090.183,
2004-06-01 05:55:00,288.801,16.052,287.743,99705.847,287.964,100090.196,
2004-06-01 06:00:00,288.991,33.708,287.759,99707.500,287.983,100090.194,
2004-06-01 06:05:00,288.870,32.894,287.805,99709.000,288.031,100090.164,
2004-06-01 06:10:00,289.024,17.038,287.850,99710.500,288.061,100090.138,
2004-06-01 06:15:00,288.778,16.094,287.896,99712.000,288.007,100090.154,
2004-06-01 06:20:00,288.913,16.652,287.942,99713.500,288.021,100090.138,
2004-06-01 06:25:00,288.764,16.113,287.988,99715.000,288.029,100090.123,
2004-06-01 06:30:00,288.932,16.754,288.033,99716.500,288.070,100090.091,
2004-06-01 06:35:00,288.789,16.306,288.079,99718.000,288.078,100090.074,
2004-06-01 06:40:00,288.947,16.954,288.125,99719.500,288.114,100090.043,
2004-06-01 06:45:00,288.809,16.441,288.170,99721.000,288.120,100090.025,
2004-06-01 06:50:00,288.962,17.026,288.216,99722.500,288.157,100089.994,
2004-06-01 06:55:00,288.832,16.641,288.262,99724.000,288.163,100089.975,
2004-06-01 07:00:00,288.983,34.561,288.308,99725.500,288.201,100089.942,
2004-06-01 07:05:00,288.914,34.066,288.370,99729.069,288.257,100089.892,
2004-06-01 07:10:00,289.070,17.745,288.432,99732.639,288.307,100089.843,
2004-06-01 07:15:00,288.920,17.229,288.495,99736.208,288.285,100089.831,
2004-06-01 07:20:00,289.074,17.834,288.557,99739.778,288.328,100089.788,
2004-06-01 07:25:00,288.983,17.608,288.620,99743.347,288.351,100089.753,
2004-06-01 07:30:00,289.149,18.302,288.682,99746.917,288.403,100089.704,
2004-06-01 07:35:00,289.057,17.963,288.745,99750.486,288.426,100089.668,
2004-06-01 07:40:00,289.218,18.700,288.807,99754.056,288.476,100089.620,
2004-06-01 07:45:00,289.126,18.408,288.869,99757.625,288.498,100089.585,
2004-06-01 07:50:00,289.287,19.035,288.932,99761.194,288.549,100089.536,
2004-06-01 07:55:00,289.198,18.822,288.994,99764.764,288.572,100089.500,
2004-06-01 08:00:00,289.375,19.557,289.057,99768.333,288.629,100089.448,
2004-06-01 08:05:00,289.294,19.379,289.178,99768.653,288.655,100089.410,
2004-06-01 08:10:00,289.547,20.403,289.299,99768.972,288.742,100089.340,
2004-06-01 08:15:00,289.533,20.482,289.420,99769.292,288.809,100089.278,
2004-06-01 08:20:00,289.840,21.709,289.541,99769.611,288.922,100089.192,
2004-06-01 08:25:00,289.808,21.591,289.663,99769.931,289.000,100089.119,
2004-06-01 08:30:00,290.140,22.908,289.784,99770.250,289.120,100089.027,
2004-06-01 08:35:00,290.082,22.723,289.905,99770.569,289.202,100088.950,
2004-06-01 08:40:00,290.439,24.111,290.026,99770.889,289.328,100088.852,
2004-06-01 08:45:00,290.351,23.839,290.148,99771.208,289.411,100088.772,
2004-06-01 08:50:00,290.724,25.256,290.269,99771.528,289.537,100088.672,
2004-06-01 08:55:00,290.611,24.908,290.390,99771.847,289.621,100088.589,
2004-06-01 09:00:00,291.001,26.364,290.511,99772.167,289.749,100088.486,
2004-06-01 09:05:00,290.877,25.999,290.634,99772.333,289.851,100088.371,
2004-06-01 09:10:00,291.272,27.335,290.757,99772.500,289.991,100088.236,
2004-06-01 09:15:00,291.111,26.875,290.879,99772.667,290.082,100088.124,
2004-06-01 09:20:00,291.512,28.246,291.002,99772.833,290.218,100087.991,
2004-06-01 09:25:00,291.336,27.784,291.125,99773.000,290.306,100087.879,
2004-06-01 09:30:00,291.750,29.188,291.248,99773.167,290.445,100087.745,
2004-06-01 09:35:00,291.560,28.568,291.370,99773.333,290.532,100087.633,
2004-06-01 09:40:00,291.977,29.993,291.493,99773.500,290.671,100087.497,
2004-06-01 09:45:00,291.779,29.399,291.616,99773.667,290.760,100087.384,
2004-06-01 09:50:00,292.201,30.712,291.739,99773.833,290.900,100087.247,
2004-06-01 09:55:00,291.993,30.138,291.861,99774.000,290.987,100087.133,
2004-06-01 10:00:00,292.420,31.501,291.984,99774.167,291.129,100086.995,
2004-06-01 10:05:00,292.183,30.779,292.045,99773.639,291.178,100086.942,
2004-06-01 10:10:00,292.591,32.020,292.106,99773.111,291.275,100086.875,
2004-06-01 10:15:00,292.340,31.236,292.167,99772.583,291.314,100086.832,
2004-06-01 10:20:00,292.742,32.418,292.228,99772.056,291.405,100086.766,
2004-06-01 10:25:00,292.475,31.569,292.289,99771.528,291.440,100086.723,
2004-06-01 10:30:00,292.876,32.722,292.350,99771.000,291.528,100086.656,
2004-06-01 10:35:00,292.599,31.849,292.411,99770.472,291.560,100086.613,
2004-06-01 10:40:00,293.003,33.004,292.472,99769.944,291.648,100086.545,
2004-06-01 10:45:00,292.718,32.122,292.533,99769.417,291.679,100086.501,
2004-06-01 10:50:00,293.124,33.270,292.594,99768.889,291.768,100086.432,
2004-06-01 10:55:00,292.832,32.353,292.655,99768.361,291.798,100086.387,
2004-06-01 11:00:00,293.237,33.470,292.715,99767.833,291.888,100086.316,
2004-06-01 11:05:00,292.959,32.603,292.812,99766.264,291.939,100086.236,
2004-06-01 11:10:00,293.373,33.689,292.909,99764.694,292.051,100086.126,
2004-06-01 11:15:00,293.117,32.875,293.005,99763.125,292.109,100086.039,
2004-06-01 11:20:00,293.531,33.929,293.102,99761.556,292.230,100085.924,
2004-06-01 11:25:00,293.299,33.319,293.198,99759.986,292.295,100085.833,
2004-06-01 11:30:00,293.702,34.408,293.295,99758.417,292.421,100085.715,
2004-06-01 11:35:00,293.501,33.838,293.391,99756.847,292.492,100085.619,
2004-06-01 11:40:00,293.883,34.770,293.488,99755.278,292.619,100085.499,
2004-06-01 11:45:00,293.710,34.240,293.584,99753.708,292.694,100085.400,
2004-06-01 11:50:00,294.061,35.042,293.681,99752.139,292.818,100085.279,
2004-06-01 11:55:00,293.919,34.623,293.777,99750.569,292.897,100085.178,
2004-06-01 12:00:00,294.243,35.377,293.874,99749.000,293.020,100085.056,
2004-06-01 12:05:00,294.113,34.989,293.961,99745.653,293.077,100084.990,
2004-06-01 12:10:00,294.419,35.684,294.048,99742.306,293.186,100084.904,
2004-06-01 12:15:00,294.329,35.379,294.136,99738.958,293.256,100084.833,
2004-06-01 12:20:00,294.617,36.027,294.223,99735.611,293.367,100084.742,
2004-06-01 12:25:00,294.554,35.775,294.310,99732.264,293.445,100084.664,
2004-06-01 12:30:00,294.825,36.428,294.397,99728.917,293.556,100084.571,
2004-06-01 12:35:00,294.786,36.187,294.485,99725.569,293.638,100084.488,
2004-06-01 12:40:00,295.048,36.874,294.572,99722.222,293.751,100084.390,
2004-06-01 12:45:00,295.032,36.544,294.659,99718.875,293.839,100084.302,
2004-06-01 12:50:00,295.281,37.087,294.746,99715.528,293.954,100084.201,
2004-06-01 12:55:00,295.286,36.882,294.834,99712.181,294.047,100084.109,
2004-06-01 13:00:00,295.522,37.487,294.921,99708.833,294.164,100084.004,
2004-06-01 13:05:00,295.540,37.381,294.933,99706.833,294.248,100083.927,
2004-06-01 13:10:00,295.742,38.039,294.946,99704.833,294.337,100083.852,
2004-06-01 13:15:00,295.759,37.983,294.958,99702.833,294.408,100083.783,
2004-06-01 13:20:00,295.939,38.520,294.971,99700.833,294.489,100083.709,
2004-06-01 13:25:00,295.950,38.318,294.983,99698.833,294.548,100083.644,
2004-06-01 13:30:00,296.106,38.894,294.995,99696.833,294.616,100083.576,
2004-06-01 13:35:00,296.104,38.743,295.008,99694.833,294.664,100083.516,
2004-06-01 13:40:00,296.235,39.309,295.020,99692.833,294.724,100083.452,
2004-06-01 13:45:00,296.230,39.179,295.032,99690.833,294.768,100083.395,
2004-06-01 13:50:00,296.350,39.731,295.045,99688.833,294.823,100083.332,
2004-06-01 13:55:00,296.343,39.591,295.057,99686.833,294.864,100083.275,
2004-06-01 14:00:00,296.455,39.970,295.070,99684.833,294.917,100083.214,
2004-06-01 14:05:00,296.444,39.764,294.960,99685.083,294.951,100083.165,
2004-06-01 14:10:00,296.414,39.936,294.851,99685.333,294.882,100083.169,
2004-06-01 14:15:00,296.302,39.710,294.742,99685.583,294.828,100083.170,
2004-06-01 14:20:00,296.275,39.917,294.632,99685.833,294.760,100083.179,
2004-06-01 14:25:00,296.156,39.763,294.523,99686.083,294.703,100083.183,
2004-06-01 14:30:00,296.144,39.973,294.414,99686.333,294.647,100083.187,
2004-06-01 14:35:00,295.992,39.737,294.305,99686.583,294.578,100083.197,
2004-06-01 14:40:00,295.947,39.838,294.195,99686.833,294.512,100083.208,
2004-06-01 14:45:00,295.773,39.558,294.086,99687.083,294.432,100083.226,
2004-06-01 14:50:00,295.717,39.609,293.977,99687.333,294.359,100083.242,
2004-06-01 14:55:00,295.525,39.274,293.867,99687.583,294.270,100083.267,
2004-06-01 15:00:00,295.467,39.277,293.758,99687.833,294.191,100083.288,
2004-06-01 15:05:00,295.243,38.826,293.731,99688.792,294.070,100083.355,
2004-06-01 15:10:00,295.261,38.961,293.705,99689.750,294.053,100083.374,
2004-06-01 15:15:00,295.111,38.641,293.678,99690.708,294.011,100083.401,
2004-06-01 15:20:00,295.135,38.759,293.651,99691.667,294.002,100083.413,
2004-06-01 15:25:00,294.995,38.437,293.624,99692.625,293.967,100083.435,
2004-06-01 15:30:00,295.011,38.521,293.598,99693.583,293.952,100083.449,
2004-06-01 15:35:00,294.896,38.252,293.571,99694.542,293.925,100083.468,
2004-06-01 15:40:00,294.941,38.414,293.544,99695.500,293.917,100083.478,
2004-06-01 15:45:00,294.837,38.169,293.517,99696.458,293.894,100083.495,
2004-06-01 15:50:00,294.888,38.346,293.491,99697.417,293.888,100083.503,
2004-06-01 15:55:00,294.787,38.110,293.464,99698.375,293.866,100083.519,
2004-06-01 16:00:00,294.843,38.292,293.437,99699.333,293.863,100083.527,
2004-06-01 16:05:00,294.731,38.026,293.365,99702.056,293.819,100083.575,
2004-06-01 16:10:00,294.725,38.036,293.292,99704.778,293.755,100083.638,
2004-06-01 16:15:00,294.594,37.896,293.219,99707.500,293.682,100083.707,
2004-06-01 16:20:00,294.599,38.059,293.146,99710.222,293.625,100083.768,
2004-06-01 16:25:00,294.476,37.836,293.074,99712.944,293.557,100083.835,
2004-06-01 16:30:00,294.481,37.911,293.001,99715.667,293.501,100083.895,
2004-06-01 16:35:00,294.350,37.612,292.928,99718.389,293.429,100083.965,
2004-06-01 16:40:00,294.341,37.624,292.855,99721.111,293.367,100084.029,
2004-06-01 16:45:00,294.201,37.286,292.782,99723.833,293.290,100084.102,
2004-06-01 16:50:00,294.185,37.271,292.710,99726.556,293.224,100084.170,
2004-06-01 16:55:00,294.038,36.919,292.637,99729.278,293.143,100084.245,
2004-06-01 17:00:00,294.013,73.751,292.564,99732.000,293.072,100084.316,
2004-06-01 17:05:00,293.973,73.453,292.447,99736.292,293.105,100084.319,
2004-06-01 17:10:00,293.317,35.067,292.330,99740.583,292.638,100084.627,
2004-06-01 17:15:00,293.026,34.315,292.213,99744.875,292.419,100084.826,
2004-06-01 17:20:00,293.104,34.548,292.096,99749.167,292.333,100084.951,
2004-06-01 17:25:00,292.810,33.809,291.979,99753.458,292.174,100085.107,
2004-06-01 17:30:00,292.677,33.457,291.862,99757.750,292.050,100085.249,
2004-06-01 17:35:00,292.600,33.271,291.744,99762.042,291.942,100085.382,
2004-06-01 17:40:00,292.463,32.918,291.627,99766.333,291.823,100085.521,
2004-06-01 17:45:00,292.337,32.588,291.510,99770.625,291.708,100085.657,
2004-06-01 17:50:00,292.247,32.357,291.393,99774.917,291.598,100085.791,
2004-06-01 17:55:00,292.120,32.020,291.276,99779.208,291.484,100085.927,
2004-06-01 18:00:00,292.019,31.535,291.159,99783.500,291.373,100086.061,
2004-06-01 18:05:00,291.968,31.285,291.147,99786.653,291.338,100086.089,
2004-06-01 18:10:00,291.884,31.001,291.134,99789.806,291.302,100086.113,
2004-06-01 18:15:00,291.821,30.576,291.122,99792.958,291.277,100086.131,
2004-06-01 18:20:00,291.772,30.321,291.109,99796.111,291.253,100086.149,
2004-06-01 18:25:00,291.730,29.929,291.097,99799.264,291.235,100086.164,
2004-06-01 18:30:00,291.713,29.772,291.084,99802.417,291.224,100086.175,
2004-06-01 18:35:00,291.699,29.476,291.072,99805.569,291.214,100086.186,
2004-06-01 18:40:00,291.688,29.341,291.060,99808.722,291.207,100086.194,
2004-06-01 18:45:00,291.673,29.053,291.047,99811.875,291.196,100086.204,
2004-06-01 18:50:00,291.660,28.908,291.035,99815.028,291.188,100086.214,
2004-06-01 18:55:00,291.642,28.616,291.022,99818.181,291.177,100086.224,
2004-06-01 19:00:00,291.631,28.482,291.010,99821.333,291.169,100086.233,
2004-06-01 19:05:00,291.616,28.420,290.981,99825.708,291.161,100086.239,
2004-06-01 19:10:00,291.608,28.214,290.951,99830.083,291.153,100086.248,
2004-06-01 19:15:00,291.559,27.999,290.921,99834.458,291.137,100086.262,
2004-06-01 19:20:00,291.691,28.389,290.892,99838.833,291.147,100086.264,
2004-06-01 19:25:00,291.653,28.139,290.862,99843.208,291.148,100086.270,
2004-06-01 19:30:00,291.739,28.320,290.833,99847.583,291.149,100086.275,
2004-06-01 19:35:00,292.090,29.358,290.803,99851.958,291.254,100086.234,
2004-06-01 19:40:00,292.481,30.538,290.774,99856.333,291.329,100086.207,
2004-06-01 19:45:00,292.427,30.481,290.744,99860.708,291.348,100086.192,
2004-06-01 19:50:00,292.447,30.555,290.715,99865.083,291.333,100086.193,
2004-06-01 19:55:00,292.303,30.155,290.685,99869.458,291.295,100086.214,
2004-06-01 20:00:00,292.303,30.073,290.656,99873.833,291.262,100086.240,
2004-06-01 20:05:00,292.182,29.652,290.624,99878.583,291.218,100086.279,
2004-06-01 20:10:00,292.196,29.611,290.593,99883.333,291.184,100086.314,
2004-06-01 20:15:00,292.088,29.260,290.561,99888.083,291.145,100086.351,
2004-06-01 20:20:00,292.107,29.272,290.530,99892.833,291.114,100086.384,
2004-06-01 20:25:00,292.003,28.962,290.498,99897.583,291.077,100086.420,
2004-06-01 20:30:00,292.026,29.011,290.466,99902.333,291.047,100086.452,
2004-06-01 20:35:00,291.927,28.668,290.435,99907.083,291.012,100086.487,
2004-06-01 20:40:00,291.954,28.673,290.403,99911.833,290.984,100086.518,
2004-06-01 20:45:00,291.856,28.342,290.372,99916.583,290.950,100086.552,
2004-06-01 20:50:00,291.886,28.384,290.340,99921.333,290.922,100086.583,
2004-06-01 20:55:00,291.787,28.085,290.308,99926.083,290.889,100086.616,
2004-06-01 21:00:00,291.818,0.000,290.277,99930.833,290.861,100086.647,
2004-06-01 21:05:00,291.563,0.000,290.169,99936.490,290.640,100086.833,
2004-06-01 21:10:00,291.542,0.000,290.061,99942.147,290.517,100086.995,
2004-06-01 21:15:00,291.366,0.000,289.953,99947.804,290.387,100087.155,
2004-06-01 21:20:00,291.352,0.000,289.846,99953.461,290.274,100087.305,
2004-06-01 21:25:00,291.182,0.000,289.738,99959.118,290.156,100087.457,
2004-06-01 21:30:00,291.173,0.000,289.630,99964.775,290.050,100087.603,
2004-06-01 21:35:00,291.003,0.000,289.522,99970.432,289.937,100087.752,
2004-06-01 21:40:00,291.001,0.000,289.415,99976.089,289.835,100087.895,
2004-06-01 21:45:00,290.828,0.000,289.307,99981.746,289.724,100088.041,
2004-06-01 21:50:00,290.831,0.000,289.199,99987.403,289.624,100088.182,
2004-06-01 21:55:00,290.654,0.000,289.091,99993.060,289.513,100088.328,
2004-06-01 22:00:00,290.101,0.000,288.983,99998.717,289.292,100088.541,
2004-06-01 22:05:00,289.533,0.000,288.934,100000.587,289.137,100088.667,
2004-06-01 22:10:00,289.568,0.000,288.885,100002.458,289.092,100088.727,
2004-06-01 22:15:00,289.641,0.000,288.836,100004.329,289.062,100088.775,
2004-06-01 22:20:00,289.677,0.000,288.787,100006.200,289.040,100088.819,
2004-06-01 22:25:00,289.653,0.000,288.738,100008.071,288.999,100088.872,
2004-06-01 22:30:00,289.606,0.000,288.689,100009.942,288.957,100088.926,
2004-06-01 22:35:00,289.552,0.000,288.640,100011.812,288.907,100088.984,
2004-06-01 22:40:00,289.519,0.000,288.591,100013.683,288.865,100089.038,
2004-06-01 22:45:00,289.477,0.000,288.542,100015.554,288.819,100089.094,
2004-06-01 22:50:00,289.461,0.000,288.493,100017.425,288.780,100089.146,
2004-06-01 22:55:00,289.418,0.000,288.444,100019.296,288.736,100089.200,
2004-06-01 23:00:00,289.408,0.000,288.395,100021.167,288.698,100089.251,
2004-06-01 23:05:00,289.394,0.000,288.386,100022.208,288.699,100089.237,
2004-06-01 23:10:00,289.440,0.000,288.378,100023.250,288.722,100089.209,
2004-06-01 23:15:00,289.434,0.000,288.370,100024.292,288.741,100089.180,
2004-06-01 23:20:00,289.482,0.000,288.362,100025.333,288.767,100089.148,
2004-06-01 23:25:00,289.923,0.000,288.353,100026.375,288.826,100089.102,
2004-06-01 23:30:00,290.240,0.000,288.345,100027.417,288.847,100089.071,
2004-06-01 23:35:00,290.278,0.000,288.337,100028.458,288.850,100089.043,
2004-06-01 23:40:00,290.285,0.000,288.329,100029.500,288.871,100089.006,
2004-06-01 23:45:00,290.237,0.000,288.320,100030.542,288.875,100088.974,
2004-06-01 23:50:00,290.226,0.000,288.312,100031.583,288.893,100088.937,
2004-06-01 23:55:00,290.190,0.000,288.304,100032.625,288.903,100088.900,
2004-06-02 00:00:00,290.207,0.000,288.296,100033.667,288.927,100088.855,
2004-06-02 00:05:00,290.162,0.000,288.237,100034.792,288.909,100088.899,
2004-06-02 00:10:00,290.166,0.000,288.178,100035.917,288.871,100088.970,
2004-06-02 00:15:00,290.093,0.000,288.119,100037.042,288.809,100089.056,
2004-06-02 00:20:00,290.080,0.000,288.060,100038.167,288.746,100089.144,
2004-06-02 00:25:00,289.988,0.000,288.001,100039.292,288.675,100089.235,
2004-06-02 00:30:00,289.970,0.000,287.943,100040.417,288.611,100089.323,
2004-06-02 00:35:00,289.872,0.000,287.884,100041.542,288.541,100089.412,
2004-06-02 00:40:00,289.856,0.000,287.825,100042.667,288.478,100089.498,
2004-06-02 00:45:00,289.753,0.000,287.766,100043.792,288.409,100089.585,
2004-06-02 00:50:00,289.740,0.000,287.707,100044.917,288.347,100089.669,
2004-06-02 00:55:00,289.632,0.000,287.649,100046.042,288.279,100089.755,
2004-06-02 01:00:00,289.622,0.000,287.590,100047.167,288.217,100089.837,
2004-06-02 01:05:00,289.517,0.000,287.559,100045.972,288.162,100089.897,
2004-06-02 01:10:00,289.523,0.000,287.527,100044.778,288.125,100089.945,
2004-06-02 01:15:00,289.439,0.000,287.496,100043.583,288.087,100089.991,
2004-06-02 01:20:00,289.464,0.000,287.465,100042.389,288.059,100090.032,
2004-06-02 01:25:00,289.389,0.000,287.434,100041.194,288.026,100090.075,
2004-06-02 01:30:00,289.427,0.000,287.403,100040.000,288.001,100090.115,
2004-06-02 01:35:00,289.352,0.000,287.371,100038.806,287.969,100090.157,
2004-06-02 01:40:00,289.398,0.000,287.340,100037.611,287.945,100090.196,
2004-06-02 01:45:00,289.321,0.000,287.309,100036.417,287.914,100090.238,
2004-06-02 01:50:00,289.373,0.000,287.278,100035.222,287.890,100090.278,
2004-06-02 01:55:00,289.294,0.000,287.247,100034.028,287.860,100090.319,
2004-06-02 02:00:00,289.351,0.000,287.215,100032.833,287.836,100090.359,
2004-06-02 02:05:00,289.270,0.000,287.151,100033.653,287.802,100090.410,
2004-06-02 02:10:00,289.327,0.000,287.086,100034.472,287.767,100090.465,
2004-06-02 02:15:00,289.226,0.000,287.022,100035.292,287.721,100090.525,
2004-06-02 02:20:00,289.274,0.000,286.957,100036.111,287.677,100090.587,
2004-06-02 02:25:00,289.157,0.000,286.893,100036.931,287.623,100090.652,
2004-06-02 02:30:00,289.200,0.000,286.828,100037.750,287.575,100090.716,
2004-06-02 02:35:00,289.073,0.000,286.764,100038.569,287.518,100090.784,
2004-06-02 02:40:00,289.117,0.000,286.699,100039.389,287.467,100090.850,
2004-06-02 02:45:00,288.981,0.000,286.634,100040.208,287.408,100090.919,
2004-06-02 02:50:00,289.027,0.000,286.570,100041.028,287.356,100090.987,
2004-06-02 02:55:00,288.885,0.000,286.505,100041.847,287.296,100091.057,
2004-06-02 03:00:00,288.934,0.000,286.441,100042.667,287.243,100091.126,
2004-06-02 03:05:00,288.786,0.000,286.420,100044.208,287.191,100091.177,
2004-06-02 03:10:00,288.847,0.000,286.400,100045.750,287.157,100091.215,
2004-06-02 03:15:00,288.701,0.000,286.379,100047.292,287.119,100091.253,
2004-06-02 03:20:00,288.771,0.000,286.359,100048.833,287.094,100091.285,
2004-06-02 03:25:00,288.622,0.000,286.339,100050.375,287.059,100091.320,
2004-06-02 03:30:00,288.699,0.000,286.318,100051.917,287.036,100091.351,
2004-06-02 03:35:00,288.544,0.000,286.298,100053.458,287.002,100091.386,
2004-06-02 03:40:00,288.629,0.000,286.277,100055.000,286.981,100091.416,
2004-06-02 03:45:00,288.468,0.000,286.257,100056.542,286.948,100091.450,
2004-06-02 03:50:00,288.562,0.000,286.237,100058.083,286.928,100091.479,
2004-06-02 03:55:00,288.394,0.000,286.216,100059.625,286.895,100091.513,
2004-06-02 04:00:00,288.496,0.000,286.196,100061.167,286.876,100091.541,
2004-06-02 04:05:00,288.332,0.000,286.229,100063.375,286.861,100091.536,
2004-06-02 04:10:00,288.463,0.000,286.263,100065.583,286.879,100091.510,
2004-06-02 04:15:00,288.318,0.000,286.296,100067.792,286.890,100091.485,
2004-06-02 04:20:00,288.475,0.000,286.330,100070.000,286.922,100091.451,
2004-06-02 04:25:00,288.336,0.000,286.363,100072.208,286.941,100091.422,
2004-06-02 04:30:00,288.508,0.000,286.396,100074.417,286.977,100091.386,
2004-06-02 04:35:00,288.365,0.000,286.430,100076.625,286.998,100091.357,
2004-06-02 04:40:00,288.547,0.000,286.463,100078.833,287.036,100091.322,
2004-06-02 04:45:00,288.399,0.000,286.497,100081.042,287.056,100091.294,
2004-06-02 04:50:00,288.588,0.000,286.530,100083.250,287.094,100091.261,
2004-06-02 04:55:00,288.435,0.000,286.564,100085.458,287.114,100091.235,
