cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,0.000,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.215,0.000,287.334,99731.472,289.952,100087.982,
2004-06-01 00:10:00,290.265,0.000,287.334,99729.111,289.522,100088.212,
2004-06-01 00:15:00,290.493,0.000,287.334,99726.750,289.515,100088.244,
2004-06-01 00:20:00,290.785,0.000,287.334,99724.389,289.580,100088.193,
2004-06-01 00:25:00,290.858,0.000,287.334,99722.028,289.611,100088.184,
2004-06-01 00:30:00,290.934,0.000,287.334,99719.667,289.647,100088.147,
2004-06-01 00:35:00,290.823,0.000,287.333,99717.306,289.567,100088.275,
2004-06-01 00:40:00,290.698,0.000,287.333,99714.944,289.415,100088.471,
2004-06-01 00:45:00,290.454,0.000,287.333,99712.583,289.235,100088.679,
2004-06-01 00:50:00,290.328,0.000,287.333,99710.222,289.097,100088.840,
2004-06-01 00:55:00,290.178,0.000,287.333,99707.861,288.977,100088.986,
2004-06-01 01:00:00,290.135,0.000,287.333,99705.500,288.887,100089.099,
2004-06-01 01:05:00,290.029,0.000,287.342,99703.931,288.812,100089.190,
2004-06-01 01:10:00,290.021,0.000,287.351,99702.361,288.759,100089.261,
2004-06-01 01:15:00,289.918,0.000,287.360,99700.792,288.698,100089.339,
2004-06-01 01:20:00,289.905,0.000,287.369,99699.222,288.646,100089.407,
2004-06-01 01:25:00,289.793,0.000,287.378,99697.653,288.583,100089.483,
2004-06-01 01:30:00,289.778,0.000,287.387,99696.083,288.531,100089.551,
2004-06-01 01:35:00,289.669,0.000,287.396,99694.514,288.470,100089.624,
2004-06-01 01:40:00,289.662,0.000,287.405,99692.944,288.419,100089.689,
2004-06-01 01:45:00,289.556,0.000,287.414,99691.375,288.360,100089.760,
2004-06-01 01:50:00,289.555,0.000,287.423,99689.806,288.313,100089.822,
2004-06-01 01:55:00,289.450,0.000,287.432,99688.236,288.256,100089.889,
