cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,0.000,287.334,99731.472,288.679,100089.700,
2004-06-01 00:10:00,0.000,287.334,99729.111,288.268,100089.921,
2004-06-01 00:15:00,0.000,287.334,99726.750,288.327,100089.884,
2004-06-01 00:20:00,0.000,287.334,99724.389,288.403,100089.824,
2004-06-01 00:25:00,0.000,287.334,99722.028,288.425,100089.793,
2004-06-01 00:30:00,0.000,287.334,99719.667,288.452,100089.752,
2004-06-01 00:35:00,0.000,287.333,99717.306,288.468,100089.719,
2004-06-01 00:40:00,0.000,287.333,99714.944,288.508,100089.666,
2004-06-01 00:45:00,0.000,287.333,99712.583,288.544,100089.614,
2004-06-01 00:50:00,0.000,287.333,99710.222,288.601,100089.542,
2004-06-01 00:55:00,0.000,287.333,99707.861,288.655,100089.468,
2004-06-01 01:00:00,0.000,287.333,99705.500,288.730,100089.371,
2004-06-01 01:05:00,0.000,287.342,99703.931,288.704,100089.426,
2004-06-01 01:10:00,0.000,287.351,99702.361,288.641,100089.503,
2004-06-01 01:15:00,0.000,287.360,99700.792,288.559,100089.589,
2004-06-01 01:20:00,0.000,287.369,99699.222,288.500,100089.658,
2004-06-01 01:25:00,0.000,287.378,99697.653,288.441,100089.727,
2004-06-01 01:30:00,0.000,287.387,99696.083,288.396,100089.785,
2004-06-01 01:35:00,0.000,287.396,99694.514,288.345,100089.845,
2004-06-01 01:40:00,0.000,287.405,99692.944,288.305,100089.897,
2004-06-01 01:45:00,0.000,287.414,99691.375,288.258,100089.951,
2004-06-01 01:50:00,0.000,287.423,99689.806,288.223,100089.997,
2004-06-01 01:55:00,0.000,287.432,99688.236,288.181,100090.045,
2004-06-01 02:00:00,0.000,287.441,99686.667,288.151,100090.085,
2004-06-01 02:05:00,0.000,287.444,99685.875,288.140,100090.088,
2004-06-01 02:10:00,0.000,287.446,99685.083,288.150,100090.078,
2004-06-01 02:15:00,0.000,287.448,99684.292,288.153,100090.072,
2004-06-01 02:20:00,0.000,287.450,99683.500,288.163,100090.063,
2004-06-01 02:25:00,0.000,287.453,99682.708,288.161,100090.061,
2004-06-01 02:30:00,0.000,287.455,99681.917,288.168,100090.053,
2004-06-01 02:35:00,0.000,287.457,99681.125,288.165,100090.051,
2004-06-01 02:40:00,0.000,287.460,99680.333,288.173,100090.044,
2004-06-01 02:45:00,0.000,287.462,99679.542,288.170,100090.042,
2004-06-01 02:50:00,0.000,287.464,99678.750,288.178,100090.035,
2004-06-01 02:55:00,0.000,287.466,99677.958,288.175,100090.033,
2004-06-01 03:00:00,0.000,287.469,99677.167,288.183,100090.026,
2004-06-01 03:05:00,0.000,287.468,99678.042,288.198,100089.996,
2004-06-01 03:10:00,0.000,287.467,99678.917,288.233,100089.956,
2004-06-01 03:15:00,0.000,287.466,99679.792,288.260,100089.919,
2004-06-01 03:20:00,0.000,287.465,99680.667,288.296,100089.877,
2004-06-01 03:25:00,0.000,287.464,99681.542,288.321,100089.840,
2004-06-01 03:30:00,0.000,287.463,99682.417,288.357,100089.797,
2004-06-01 03:35:00,0.000,287.462,99683.292,288.382,100089.759,
2004-06-01 03:40:00,0.000,287.462,99684.167,288.419,100089.715,
2004-06-01 03:45:00,0.000,287.461,99685.042,288.446,100089.676,
2004-06-01 03:50:00,0.000,287.460,99685.917,288.485,100089.630,
2004-06-01 03:55:00,0.000,287.459,99686.792,288.512,100089.589,
2004-06-01 04:00:00,0.000,287.458,99687.667,288.552,100089.542,
2004-06-01 04:05:00,0.000,287.467,99687.667,288.500,100089.625,
2004-06-01 04:10:00,0.000,287.476,99687.667,288.428,100089.715,
2004-06-01 04:15:00,0.000,287.486,99687.667,288.348,100089.798,
2004-06-01 04:20:00,0.000,287.495,99687.667,288.298,100089.859,
2004-06-01 04:25:00,0.000,287.504,99687.667,288.250,100089.912,
2004-06-01 04:30:00,0.000,287.513,99687.667,288.223,100089.951,
2004-06-01 04:35:00,0.000,287.523,99687.667,288.188,100089.989,
2004-06-01 04:40:00,0.000,287.532,99687.667,288.169,100090.016,
2004-06-01 04:45:00,0.000,287.541,99687.667,288.140,100090.045,
2004-06-01 04:50:00,0.000,287.550,99687.667,288.126,100090.065,
2004-06-01 04:55:00,0.000,287.559,99687.667,288.102,100090.087,
2004-06-01 05:00:00,9.188,287.569,99687.667,288.093,100090.101,
2004-06-01 05:05:00,1.431,287.585,99689.319,288.076,100090.140,
