Fichier CAPITOUL-FLX-30MN
MOIS : 2004/12 
PLATFORME = saint-sardos
LATITUDE = 43°53'
LONGITUDE =01°06'
ALTITUDE = 187 m
TYPE = ASCII
DATE_creation_fichier = 07/12/2006
#LISTE DES PARAMETRES#
'DATE'	'HEURE'		'HS_TAIR-flx'	'HS_TSON-flx'	'LE_TAIR-flx'	'USTAR-vit'	'RN-ray'	
#UNITES#
'JJ/MM/AAAA'	'HHMMSS.SSS'	'W/m2'	'W/m2'	'W/m2'	'm/s'	'W/m2'	
#FIN ENTETE#
01/12/2004	002959.000	-11.148	-11.507	-6.288	0.137	-26.99
01/12/2004	005959.000	-0.431	-0.624	-3.692	0.066	-25.74
01/12/2004	012959.000	-4.867	-6.080	-22.287	0.101	-21.16
01/12/2004	015959.000	-4.061	-5.481	-26.803	0.076	-24.86
01/12/2004	022959.000	-21.468	-24.124	+9999	0.183	-23.82
01/12/2004	025959.000	-23.048	-23.599	-8.676	0.181	-22.78
01/12/2004	032959.000	-32.031	-38.150	+9999	0.234	-22.39
01/12/2004	035959.000	-44.214	-48.873	+9999	0.279	-21.99
01/12/2004	042959.000	+9999	+9999	+9999	0.340	-21.36
01/12/2004	045959.000	-45.331	-51.529	+9999	0.284	-21.19
01/12/2004	052959.000	-20.777	-23.001	+9999	0.193	-21.11
01/12/2004	055959.000	-8.803	-10.477	-30.774	0.129	-20.75
01/12/2004	062959.000	-39.382	-52.336	+9999	0.250	-19.99
01/12/2004	065959.000	-36.005	-43.356	+9999	0.293	-19.10
01/12/2004	072959.000	-40.034	-46.687	+9999	0.249	-11.42
01/12/2004	075959.000	-41.886	-36.139	108.235	0.275	11.57
01/12/2004	082959.000	-20.626	-20.975	-6.380	0.324	35.62
01/12/2004	085959.000	6.836	8.184	24.579	0.366	85.53
01/12/2004	092959.000	30.448	33.483	55.389	0.435	127.07
01/12/2004	095959.000	47.951	52.024	72.559	0.478	166.19
01/12/2004	102959.000	64.893	69.505	81.973	0.452	210.69
01/12/2004	105959.000	44.901	48.728	68.719	0.301	243.37
01/12/2004	112959.000	64.265	68.519	73.999	0.364	262.49
01/12/2004	115959.000	67.078	73.667	115.592	0.527	267.29
01/12/2004	122959.000	63.941	70.205	109.604	0.582	260.99
01/12/2004	125959.000	71.216	78.351	124.150	0.733	243.43
01/12/2004	132959.000	76.193	85.631	165.342	0.822	212.72
01/12/2004	135959.000	52.834	58.725	102.592	0.798	163.33
01/12/2004	142959.000	32.340	36.809	77.616	0.740	121.28
01/12/2004	145959.000	18.497	24.236	101.171	0.874	35.62
01/12/2004	152959.000	11.730	14.279	44.211	0.868	-8.55
01/12/2004	155959.000	-45.185	-34.597	189.141	0.822	-64.70
01/12/2004	162959.000	-46.770	-38.522	147.468	0.741	-82.97
01/12/2004	165959.000	-46.959	-44.445	46.029	0.645	-85.24
01/12/2004	172959.000	-54.758	-52.650	39.013	0.589	-81.91
01/12/2004	175959.000	-55.291	-54.216	20.442	0.501	-74.41
01/12/2004	182959.000	-56.080	-56.456	-4.781	0.524	-68.14
01/12/2004	185959.000	-44.453	-45.126	-10.619	0.594	-65.31
01/12/2004	192959.000	-44.625	-44.477	4.217	0.470	-58.30
01/12/2004	195959.000	-37.483	-37.894	-6.463	0.289	-51.56
01/12/2004	202959.000	-16.103	-16.190	-1.152	0.152	-32.88
01/12/2004	205959.000	-50.200	-51.086	-14.502	0.340	-37.01
01/12/2004	212959.000	-37.413	-37.209	5.103	0.426	-10.59
01/12/2004	215959.000	-55.847	-56.458	-8.866	0.548	-14.35
01/12/2004	222959.000	-37.321	-36.673	12.821	0.508	-9.60
01/12/2004	225959.000	-39.407	-35.992	63.697	0.356	-10.63
01/12/2004	232959.000	-44.427	-43.543	18.423	0.398	-18.48
01/12/2004	235959.000	-39.286	-39.542	-2.936	0.583	-23.03
02/12/2004	002959.000	-33.231	-29.645	64.062	0.704	-27.16
02/12/2004	005959.000	-3.001	-2.435	11.599	0.789	-7.89
02/12/2004	012959.000	-6.464	-5.426	18.565	0.813	-11.76
02/12/2004	015959.000	-26.710	-27.379	-11.019	0.656	-5.10
02/12/2004	022959.000	-26.155	-25.442	14.025	0.527	-4.44
02/12/2004	025959.000	-16.317	-15.580	13.779	0.294	-0.99
02/12/2004	032959.000	-12.871	-13.517	+9999	0.071	0.87
02/12/2004	035959.000	-3.591	-17.445	+9999	0.276	-10.37
02/12/2004	042959.000	-9.205	-9.875	+9999	0.297	-25.57
02/12/2004	045959.000	2.688	3.438	13.852	0.319	-14.66
02/12/2004	052959.000	-17.674	-17.323	6.613	0.373	-48.20
02/12/2004	055959.000	-22.854	-23.263	-6.977	0.264	-56.80
02/12/2004	062959.000	-22.554	-22.566	0.500	0.316	-45.85
02/12/2004	065959.000	-24.035	-23.886	3.228	0.335	-21.09
02/12/2004	072959.000	-44.059	-42.047	37.354	0.366	-11.22
02/12/2004	075959.000	-59.690	-58.586	20.875	0.423	-8.32
02/12/2004	082959.000	-26.166	-24.444	31.610	0.379	-2.17
02/12/2004	085959.000	-6.001	-3.978	35.330	0.382	7.67
02/12/2004	092959.000	-6.470	-4.338	39.498	0.172	34.60
02/12/2004	095959.000	-4.245	-3.256	18.710	0.157	27.42
02/12/2004	102959.000	3.284	4.906	28.815	0.221	51.19
02/12/2004	105959.000	7.820	10.437	47.187	0.274	80.81
02/12/2004	112959.000	14.236	16.599	42.197	0.211	121.64
02/12/2004	115959.000	19.471	22.856	60.786	0.218	108.03
02/12/2004	122959.000	62.177	68.387	108.577	0.301	237.96
02/12/2004	125959.000	39.470	44.006	80.013	0.251	145.92
02/12/2004	132959.000	30.073	33.710	64.533	0.192	153.45
02/12/2004	135959.000	12.273	14.517	40.202	0.184	91.74
02/12/2004	142959.000	4.579	6.910	40.654	0.210	67.69
02/12/2004	145959.000	-7.736	-6.564	21.284	0.190	6.80
02/12/2004	152959.000	-6.373	-5.847	10.462	0.133	-10.86
02/12/2004	155959.000	-4.241	-4.093	3.417	0.093	-22.09
02/12/2004	162959.000	-2.607	-2.639	-0.065	0.077	-28.59
02/12/2004	165959.000	-3.773	-3.671	1.974	0.092	-32.85
02/12/2004	172959.000	-6.551	-6.512	0.984	0.148	-36.98
02/12/2004	175959.000	-6.805	-6.791	0.910	0.138	-30.47
02/12/2004	182959.000	-5.536	-5.534	0.684	0.114	-25.54
02/12/2004	185959.000	-3.413	-3.364	0.269	0.123	-22.56
02/12/2004	192959.000	-4.148	-4.085	0.919	0.129	-20.82
02/12/2004	195959.000	-8.266	-7.922	6.306	0.161	-19.71
02/12/2004	202959.000	-2.835	-2.750	1.685	0.081	-15.46
02/12/2004	205959.000	-5.081	-4.980	1.894	0.122	-11.28
02/12/2004	212959.000	-1.942	-1.917	0.561	0.092	-10.88
02/12/2004	215959.000	-1.795	-1.735	1.415	0.094	-9.83
02/12/2004	222959.000	-0.518	-0.523	0.058	0.084	-10.18
02/12/2004	225959.000	-2.104	-2.048	1.039	0.085	-12.63
02/12/2004	232959.000	-17.657	-17.325	6.070	0.144	-21.06
02/12/2004	235959.000	-5.046	-5.027	0.131	0.087	-31.08
03/12/2004	002959.000	-21.938	-21.307	11.583	0.273	-33.59
03/12/2004	005959.000	-7.344	-6.900	8.354	0.173	-11.89
03/12/2004	012959.000	-7.625	-6.847	14.012	0.259	-4.81
03/12/2004	015959.000	-1.785	-1.188	10.318	0.288	-4.32
03/12/2004	022959.000	-2.948	-2.381	10.712	0.241	-4.39
03/12/2004	025959.000	-1.563	-1.364	3.945	0.242	-9.50
03/12/2004	032959.000	-4.545	-4.314	3.973	0.232	-14.35
03/12/2004	035959.000	-1.989	-1.915	2.031	0.177	-26.64
03/12/2004	042959.000	-3.692	-3.745	-1.042	0.111	-42.19
03/12/2004	045959.000	-2.410	-2.535	-2.176	0.046	-51.84
03/12/2004	052959.000	-1.849	-1.961	-1.897	0.018	-11.59
03/12/2004	055959.000	-3.709	-3.748	-0.690	0.082	-5.71
03/12/2004	062959.000	-2.694	-2.686	0.033	0.088	-21.75
03/12/2004	065959.000	-0.852	-0.824	0.393	0.039	-45.89
03/12/2004	072959.000	-0.908	-0.934	-0.345	0.066	-23.32
03/12/2004	075959.000	-1.876	-1.917	-1.089	0.049	-8.17
03/12/2004	082959.000	-0.851	-0.859	-0.432	0.054	15.52
03/12/2004	085959.000	1.969	2.719	14.855	0.105	37.63
03/12/2004	092959.000	14.685	16.328	29.868	0.135	64.53
03/12/2004	095959.000	25.717	27.983	39.446	0.113	96.07
03/12/2004	102959.000	22.061	23.782	30.296	0.047	97.97
03/12/2004	105959.000	36.773	38.412	28.489	0.111	127.44
03/12/2004	112959.000	41.780	44.840	53.954	0.091	142.68
03/12/2004	115959.000	63.412	66.096	47.367	0.240	194.55
03/12/2004	122959.000	31.359	33.521	37.354	0.093	84.88
03/12/2004	125959.000	20.114	21.803	29.870	0.110	84.94
03/12/2004	132959.000	14.001	14.976	17.308	0.066	58.39
03/12/2004	135959.000	9.992	10.909	16.965	0.100	40.82
03/12/2004	142959.000	2.300	2.818	9.095	0.080	12.11
03/12/2004	145959.000	-0.161	-0.101	0.831	0.032	-5.39
03/12/2004	152959.000	-0.705	-0.545	2.874	0.038	-8.12
03/12/2004	155959.000	-1.327	-1.029	5.111	0.065	-12.06
03/12/2004	162959.000	-1.272	-0.972	5.392	0.071	-14.99
03/12/2004	165959.000	-0.915	-0.822	1.690	0.037	-15.37
03/12/2004	172959.000	-0.802	-0.772	0.434	0.035	-17.20
03/12/2004	175959.000	-0.043	-0.070	-0.224	0.037	-7.01
03/12/2004	182959.000	-0.611	-0.559	0.711	0.040	-18.60
03/12/2004	185959.000	-0.320	-0.276	0.811	0.037	-15.04
03/12/2004	192959.000	-0.801	-0.772	1.016	0.043	-39.24
03/12/2004	195959.000	-2.062	-2.017	0.833	0.055	-33.45
03/12/2004	202959.000	-0.921	-0.942	-0.078	0.044	-33.21
03/12/2004	205959.000	-2.476	-2.441	0.873	0.078	-33.62
03/12/2004	212959.000	-0.771	-0.796	-0.095	0.040	-45.50
03/12/2004	215959.000	0.049	0.000	-0.868	0.024	-38.48
03/12/2004	222959.000	-0.228	-0.269	-0.929	0.028	-57.75
03/12/2004	225959.000	-0.084	-0.213	-2.418	0.027	-53.81
03/12/2004	232959.000	-0.098	-0.218	-2.325	0.031	-42.20
03/12/2004	235959.000	-0.258	-0.326	-1.426	0.023	-34.01
04/12/2004	002959.000	0.321	0.001	-5.939	0.023	-28.86
04/12/2004	005959.000	-0.260	-0.173	1.844	0.021	-26.27
04/12/2004	012959.000	-0.264	-0.339	+9999	0.022	-20.93
04/12/2004	015959.000	-0.440	-0.114	5.899	0.020	-7.36
04/12/2004	022959.000	-0.114	-0.068	0.767	0.008	-2.92
04/12/2004	025959.000	-0.035	0.014	0.975	0.014	-3.55
04/12/2004	032959.000	0.020	-0.085	-2.175	0.033	-9.96
04/12/2004	035959.000	-2.013	-2.159	-2.596	0.062	-24.22
04/12/2004	042959.000	2.866	0.336	+9999	0.047	-15.26
04/12/2004	045959.000	-2.865	-2.630	4.944	0.045	-14.85
04/12/2004	052959.000	-5.448	-5.649	-15.540	0.049	-22.32
04/12/2004	055959.000	-3.258	-4.730	-27.526	0.060	-12.71
04/12/2004	062959.000	-1.879	-1.531	2.002	0.048	-16.82
04/12/2004	065959.000	5.161	5.326	4.324	0.063	-13.53
04/12/2004	072959.000	0.977	1.711	23.101	0.069	-8.99
04/12/2004	075959.000	-15.928	29.311	+9999	0.147	12.94
04/12/2004	082959.000	31.321	28.600	78.340	0.164	38.72
04/12/2004	085959.000	35.155	32.393	+9999	0.168	77.78
04/12/2004	092959.000	33.842	40.905	126.927	0.117	97.24
04/12/2004	095959.000	+9999	+9999	297.821	0.577	119.55
04/12/2004	102959.000	39.682	47.095	138.610	0.128	153.38
04/12/2004	105959.000	33.714	40.806	131.072	0.099	163.59
04/12/2004	112959.000	33.302	39.799	120.207	0.033	171.00
04/12/2004	115959.000	36.888	42.467	102.041	0.145	158.00
04/12/2004	122959.000	28.190	37.262	165.708	0.185	116.89
04/12/2004	125959.000	31.376	40.487	166.585	0.134	94.35
04/12/2004	132959.000	18.655	31.025	226.448	0.205	63.74
04/12/2004	135959.000	14.706	26.774	222.988	0.123	53.82
04/12/2004	142959.000	8.985	10.882	34.661	0.161	39.70
04/12/2004	145959.000	23.697	34.514	+9999	0.211	31.76
04/12/2004	152959.000	5.047	10.142	84.345	0.180	15.65
04/12/2004	155959.000	-3.999	-1.251	+9999	0.104	3.31
04/12/2004	162959.000	-0.309	6.002	-11.825	0.132	-3.24
04/12/2004	165959.000	-22.939	2.772	+9999	0.076	-4.24
04/12/2004	172959.000	+9999	+9999	12.218	0.176	-4.15
04/12/2004	175959.000	+9999	+9999	+9999	0.205	-3.95
04/12/2004	182959.000	3.372	4.241	-0.677	0.161	-4.07
04/12/2004	185959.000	-1.407	-0.168	23.654	0.100	-4.06
04/12/2004	192959.000	0.527	-2.010	+9999	0.115	-3.91
04/12/2004	195959.000	2.039	-0.991	23.504	0.102	-3.97
04/12/2004	202959.000	0.182	-0.399	-6.754	0.103	-3.90
04/12/2004	205959.000	-6.096	-3.093	41.497	0.126	-3.83
04/12/2004	212959.000	-4.287	-3.073	+9999	0.130	-3.63
04/12/2004	215959.000	7.059	-2.920	+9999	0.137	-3.53
04/12/2004	222959.000	-1.910	-2.318	+9999	0.117	-3.34
04/12/2004	225959.000	-3.402	-3.467	+9999	0.128	-3.16
04/12/2004	232959.000	5.690	3.893	+9999	0.119	-2.93
04/12/2004	235959.000	5.619	-0.928	68.527	0.171	-2.76
05/12/2004	002959.000	-13.615	-1.097	+9999	0.139	-2.82
05/12/2004	005959.000	2.891	0.906	13.506	0.125	-2.70
05/12/2004	012959.000	-1.983	0.448	46.760	0.166	-2.34
05/12/2004	015959.000	3.777	-3.240	-110.299	0.164	-2.08
05/12/2004	022959.000	-9.824	-6.158	52.345	0.160	-1.94
05/12/2004	025959.000	-8.968	-8.545	-18.475	0.159	-1.77
05/12/2004	032959.000	-7.748	-4.218	+9999	0.141	-1.79
05/12/2004	035959.000	+9999	-9.317	+9999	0.143	-1.86
05/12/2004	042959.000	1.327	-2.525	+9999	0.139	-1.78
05/12/2004	045959.000	-149.295	-37.314	+9999	0.631	-1.72
05/12/2004	052959.000	-160.042	-27.380	+9999	0.688	-1.78
05/12/2004	055959.000	-80.384	24.524	+9999	0.722	-2.14
05/12/2004	062959.000	-135.558	-18.777	+9999	0.740	-2.53
05/12/2004	065959.000	-178.925	-28.175	+9999	0.788	-3.30
05/12/2004	072959.000	-183.266	-14.451	+9999	0.999	-2.29
05/12/2004	075959.000	-309.254	+9999	+9999	1.022	2.69
05/12/2004	082959.000	-161.683	13.036	+9999	0.906	9.54
05/12/2004	085959.000	-138.430	37.531	+9999	0.858	18.15
05/12/2004	092959.000	37.169	169.491	+9999	1.045	28.10
05/12/2004	095959.000	-29.808	83.425	+9999	0.947	33.76
05/12/2004	102959.000	-200.767	+9999	+9999	+9999	47.65
05/12/2004	105959.000	-249.042	-42.083	+9999	+9999	56.05
05/12/2004	112959.000	-298.230	+9999	+9999	0.750	61.73
05/12/2004	115959.000	-53.256	30.833	+9999	0.459	71.52
05/12/2004	122959.000	-194.502	-29.505	+9999	0.747	78.79
05/12/2004	125959.000	-76.742	63.977	+9999	0.663	77.69
05/12/2004	132959.000	-63.736	51.761	+9999	0.554	74.23
05/12/2004	135959.000	-71.431	69.090	+9999	0.653	46.44
05/12/2004	142959.000	-106.644	30.382	+9999	0.591	27.25
05/12/2004	145959.000	-56.209	25.505	+9999	0.514	18.54
05/12/2004	152959.000	-80.586	36.445	+9999	0.513	8.81
05/12/2004	155959.000	-141.394	0.744	+9999	0.604	-4.28
05/12/2004	162959.000	-14.905	120.208	+9999	0.525	-10.56
05/12/2004	165959.000	-181.781	-26.764	+9999	0.563	-13.60
05/12/2004	172959.000	-185.590	-19.596	+9999	0.631	-15.46
05/12/2004	175959.000	-184.637	-35.522	+9999	0.622	-14.94
05/12/2004	182959.000	-132.138	-29.443	+9999	0.507	-16.44
05/12/2004	185959.000	-169.474	-18.554	+9999	0.552	-16.42
05/12/2004	192959.000	-123.565	-6.006	+9999	0.448	-16.70
05/12/2004	195959.000	-129.711	0.847	+9999	0.546	-16.75
05/12/2004	202959.000	-168.266	-47.598	+9999	0.565	-16.28
05/12/2004	205959.000	-181.522	-31.145	+9999	0.493	-16.22
05/12/2004	212959.000	-138.564	-22.865	+9999	0.448	-15.56
05/12/2004	215959.000	-131.167	-37.433	+9999	0.263	-14.83
05/12/2004	222959.000	-102.630	5.535	+9999	0.373	-14.41
05/12/2004	225959.000	-166.567	-39.586	+9999	0.355	-14.60
05/12/2004	232959.000	-35.393	38.252	+9999	0.216	-14.69
05/12/2004	235959.000	-63.913	20.811	+9999	0.267	-14.69
06/12/2004	002959.000	+9999	+9999	+9999	0.236	-14.65
06/12/2004	005959.000	+9999	-12.324	+9999	0.186	-14.49
06/12/2004	012959.000	+9999	-1.191	+9999	0.379	-14.90
06/12/2004	015959.000	+9999	-14.662	+9999	0.476	-15.08
06/12/2004	022959.000	-49.402	32.643	+9999	0.314	-15.28
06/12/2004	025959.000	-1.197	-1.130	0.816	0.070	-15.02
06/12/2004	032959.000	-3.584	-3.564	0.400	0.068	-14.18
06/12/2004	035959.000	-2.272	-2.172	2.431	0.071	-13.07
06/12/2004	042959.000	-1.214	-1.045	3.995	0.096	-14.85
06/12/2004	045959.000	-1.068	-0.831	4.642	0.101	-15.13
06/12/2004	052959.000	-0.885	-0.564	5.902	0.107	-14.01
06/12/2004	055959.000	-0.706	-0.412	4.981	0.083	-14.19
06/12/2004	062959.000	-0.996	-0.788	4.461	0.093	-14.72
06/12/2004	065959.000	-1.120	-0.943	2.801	0.067	-15.20
06/12/2004	072959.000	-1.525	-1.349	3.311	0.063	-14.43
06/12/2004	075959.000	-2.593	-2.540	0.671	0.081	-10.74
06/12/2004	082959.000	-1.273	-0.965	5.578	0.076	-4.40
06/12/2004	085959.000	-1.553	-1.249	7.455	0.087	5.36
06/12/2004	092959.000	-0.433	0.227	11.471	0.100	12.25
06/12/2004	095959.000	-4.878	-3.658	22.175	0.162	21.74
06/12/2004	102959.000	-0.014	1.322	24.018	0.138	28.41
06/12/2004	105959.000	2.879	4.711	33.846	0.167	42.67
06/12/2004	112959.000	5.183	6.629	25.000	0.120	50.01
06/12/2004	115959.000	18.149	20.674	45.147	0.153	56.44
06/12/2004	122959.000	13.689	15.811	37.099	0.108	52.72
06/12/2004	125959.000	11.838	13.407	27.784	0.104	42.94
06/12/2004	132959.000	9.221	10.390	22.584	0.088	35.35
06/12/2004	135959.000	6.584	7.504	17.236	0.084	24.54
06/12/2004	142959.000	2.620	3.181	14.074	0.118	15.15
06/12/2004	145959.000	3.936	4.427	8.657	0.115	5.89
06/12/2004	152959.000	1.008	0.855	-2.206	0.033	-2.51
06/12/2004	155959.000	-0.452	-0.019	9.358	0.067	-9.87
06/12/2004	162959.000	-1.464	-1.186	4.870	0.054	-15.66
06/12/2004	165959.000	-0.692	-0.546	2.529	0.020	-18.64
