cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],PresProf_cur[1.2],
2008-07-01 00:05:00,292.357,0.011,292.167,99240.400,292.386,99447.014,
2008-07-01 00:10:00,293.785,0.011,292.083,99243.000,293.997,99446.602,
2008-07-01 00:15:00,292.664,0.011,292.000,99245.600,292.685,99446.925,
2008-07-01 00:20:00,292.873,0.011,291.917,99248.200,293.015,99446.955,
2008-07-01 00:25:00,292.330,0.011,291.833,99250.800,292.362,99447.134,
2008-07-01 00:30:00,292.864,0.011,291.750,99253.400,293.010,99447.017,
2008-07-01 00:35:00,292.093,0.011,291.667,99256.000,292.122,99447.276,
2008-07-01 00:40:00,292.476,0.011,291.583,99258.600,292.592,99447.207,
2008-07-01 00:45:00,291.976,0.011,291.500,99261.200,292.006,99447.379,
2008-07-01 00:50:00,292.209,0.011,291.417,99263.800,292.313,99447.358,
2008-07-01 00:55:00,291.749,0.011,291.333,99266.400,291.781,99447.524,
2008-07-01 01:00:00,292.038,0.011,291.250,99269.000,292.137,99447.477,
2008-07-01 01:05:00,291.590,0.011,291.200,99269.667,291.620,99447.629,
2008-07-01 01:10:00,291.858,0.011,291.150,99270.333,291.950,99447.577,
2008-07-01 01:15:00,291.483,0.011,291.100,99271.000,291.512,99447.704,
2008-07-01 01:20:00,291.735,0.011,291.050,99271.667,291.823,99447.656,
2008-07-01 01:25:00,291.350,0.011,291.000,99272.333,291.378,99447.789,
2008-07-01 01:30:00,291.620,0.011,290.950,99273.000,291.706,99447.734,
2008-07-01 01:35:00,291.233,0.011,290.900,99273.667,291.259,99447.866,
2008-07-01 01:40:00,291.490,0.011,290.850,99274.333,291.574,99447.816,
2008-07-01 01:45:00,291.116,0.011,290.800,99275.000,291.141,99447.945,
2008-07-01 01:50:00,291.375,0.011,290.750,99275.667,291.457,99447.893,
2008-07-01 01:55:00,290.995,0.011,290.700,99276.333,291.018,99448.025,
2008-07-01 02:00:00,291.260,0.011,290.650,99277.000,291.341,99447.971,
2008-07-01 02:05:00,290.842,0.011,290.558,99279.350,290.864,99448.131,
2008-07-01 02:10:00,291.075,0.011,290.467,99281.700,291.156,99448.104,
2008-07-01 02:15:00,290.650,0.011,290.375,99284.050,290.672,99448.267,
2008-07-01 02:20:00,290.883,0.011,290.283,99286.400,290.964,99448.240,
2008-07-01 02:25:00,290.458,0.011,290.192,99288.750,290.479,99448.403,
2008-07-01 02:30:00,290.697,0.011,290.100,99291.100,290.778,99448.374,
2008-07-01 02:35:00,290.264,0.011,290.008,99293.450,290.285,99448.540,
2008-07-01 02:40:00,290.512,0.011,289.917,99295.800,290.594,99448.509,
2008-07-01 02:45:00,290.076,0.011,289.825,99298.150,290.097,99448.675,
2008-07-01 02:50:00,290.323,0.011,289.733,99300.500,290.405,99448.644,
2008-07-01 02:55:00,289.891,0.011,289.642,99302.850,289.912,99448.810,
2008-07-01 03:00:00,290.137,0.011,289.550,99305.200,290.219,99448.779,
2008-07-01 03:05:00,289.759,0.011,289.517,99307.092,289.779,99448.904,
2008-07-01 03:10:00,290.047,0.011,289.483,99308.983,290.128,99448.836,
2008-07-01 03:15:00,289.681,0.011,289.450,99310.875,289.701,99448.957,
2008-07-01 03:20:00,289.972,0.011,289.417,99312.767,290.051,99448.888,
2008-07-01 03:25:00,289.607,0.011,289.383,99314.658,289.627,99449.008,
2008-07-01 03:30:00,289.887,0.011,289.350,99316.550,289.965,99448.943,
2008-07-01 03:35:00,289.534,0.011,289.317,99318.442,289.553,99449.060,
2008-07-01 03:40:00,289.812,0.011,289.283,99320.333,289.888,99448.994,
2008-07-01 03:45:00,289.463,0.011,289.250,99322.225,289.482,99449.110,
2008-07-01 03:50:00,289.732,0.011,289.217,99324.117,289.807,99449.047,
2008-07-01 03:55:00,289.391,0.011,289.183,99326.008,289.410,99449.161,
2008-07-01 04:00:00,289.665,0.011,289.150,99327.900,289.740,99449.097,
2008-07-01 04:05:00,289.361,0.011,289.158,99331.558,289.379,99449.181,
2008-07-01 04:10:00,289.674,0.011,289.167,99335.217,289.748,99449.087,
2008-07-01 04:15:00,289.375,0.011,289.175,99338.875,289.394,99449.170,
2008-07-01 04:20:00,289.683,0.011,289.183,99342.533,289.757,99449.078,
2008-07-01 04:25:00,289.392,0.011,289.192,99346.192,289.411,99449.158,
2008-07-01 04:30:00,289.697,0.011,289.200,99349.850,289.770,99449.066,
2008-07-01 04:35:00,289.413,0.011,289.208,99353.508,289.432,99449.145,
2008-07-01 04:40:00,289.715,0.011,289.217,99357.167,289.788,99449.054,
2008-07-01 04:45:00,289.435,0.011,289.225,99360.825,289.455,99449.131,
2008-07-01 04:50:00,289.734,0.011,289.233,99364.483,289.808,99449.041,
2008-07-01 04:55:00,289.460,0.018,289.242,99368.142,289.481,99449.116,
2008-07-01 05:00:00,289.762,0.018,289.250,99371.800,289.837,99449.025,
2008-07-01 05:05:00,289.516,0.018,289.292,99371.633,289.538,99449.078,
2008-07-01 05:10:00,289.851,0.018,289.333,99371.467,289.927,99448.963,
2008-07-01 05:15:00,289.604,0.018,289.375,99371.300,289.626,99449.016,
2008-07-01 05:20:00,289.958,0.018,289.417,99371.133,290.037,99448.895,
2008-07-01 05:25:00,289.695,0.018,289.458,99370.967,289.718,99448.952,
2008-07-01 05:30:00,290.067,0.018,289.500,99370.800,290.150,99448.826,
2008-07-01 05:35:00,289.788,0.018,289.542,99370.633,289.811,99448.888,
2008-07-01 05:40:00,290.185,0.018,289.583,99370.467,290.274,99448.755,
2008-07-01 05:45:00,289.882,0.018,289.625,99370.300,289.906,99448.823,
2008-07-01 05:50:00,290.302,0.018,289.667,99370.133,290.395,99448.684,
2008-07-01 05:55:00,289.976,0.016,289.708,99369.967,290.001,99448.759,
2008-07-01 06:00:00,290.428,0.016,289.750,99369.800,290.528,99448.610,
2008-07-01 06:05:00,290.120,0.016,289.850,99371.467,290.146,99448.655,
2008-07-01 06:10:00,290.651,0.016,289.950,99373.133,290.756,99448.460,
2008-07-01 06:15:00,290.322,0.016,290.050,99374.800,290.347,99448.509,
2008-07-01 06:20:00,290.902,0.016,290.150,99376.467,291.014,99448.299,
2008-07-01 06:25:00,290.537,0.016,290.250,99378.133,290.562,99448.358,
2008-07-01 06:30:00,291.149,0.016,290.350,99379.800,291.269,99448.140,
2008-07-01 06:35:00,290.753,0.016,290.450,99381.467,290.780,99448.207,
2008-07-01 06:40:00,291.406,0.016,290.550,99383.133,291.535,99447.978,
2008-07-01 06:45:00,290.968,0.016,290.650,99384.800,290.996,99448.057,
2008-07-01 06:50:00,291.673,0.016,290.750,99386.467,291.812,99447.814,
2008-07-01 06:55:00,291.184,0.025,290.850,99388.133,291.213,99447.907,
2008-07-01 07:00:00,291.941,0.025,290.950,99389.800,292.092,99447.649,
2008-07-01 07:05:00,291.364,0.025,291.008,99389.133,291.394,99447.784,
2008-07-01 07:10:00,292.170,0.025,291.067,99388.467,292.337,99447.530,
2008-07-01 07:15:00,291.511,0.025,291.125,99387.800,291.542,99447.688,
2008-07-01 07:20:00,292.391,0.025,291.183,99387.133,292.575,99447.415,
2008-07-01 07:25:00,291.653,0.025,291.242,99386.467,291.684,99447.595,
2008-07-01 07:30:00,292.631,0.455,291.300,99385.800,292.834,99447.294,
2008-07-01 07:35:00,291.792,0.025,291.358,99385.133,291.823,99447.502,
2008-07-01 07:40:00,292.878,2.758,291.417,99384.467,293.102,99447.172,
2008-07-01 07:45:00,291.935,0.025,291.475,99383.800,291.967,99447.407,
2008-07-01 07:50:00,293.136,4.927,291.533,99383.133,293.383,99447.046,
2008-07-01 07:55:00,292.079,6.181,291.592,99382.467,292.111,99447.313,
2008-07-01 08:00:00,293.409,15.418,291.650,99381.800,293.680,99446.916,
2008-07-01 08:05:00,292.243,7.562,291.717,99380.392,292.276,99447.208,
2008-07-01 08:10:00,293.697,17.457,291.783,99378.983,293.992,99446.774,
2008-07-01 08:15:00,292.409,8.683,291.850,99377.575,292.443,99447.099,
2008-07-01 08:20:00,293.976,19.269,291.917,99376.167,294.295,99446.636,
2008-07-01 08:25:00,292.570,9.728,291.983,99374.758,292.604,99446.993,
2008-07-01 08:30:00,294.263,21.240,292.050,99373.350,294.607,99446.496,
2008-07-01 08:35:00,292.728,10.807,292.117,99371.942,292.763,99446.887,
2008-07-01 08:40:00,294.548,23.142,292.183,99370.533,294.917,99446.356,
2008-07-01 08:45:00,292.888,11.819,292.250,99369.125,292.922,99446.781,
2008-07-01 08:50:00,294.835,24.992,292.317,99367.717,295.230,99446.216,
2008-07-01 08:55:00,293.045,12.777,292.383,99366.308,293.080,99446.676,
2008-07-01 09:00:00,295.125,26.817,292.450,99364.900,295.545,99446.076,
2008-07-01 09:05:00,293.203,13.602,292.517,99367.292,293.237,99446.571,
2008-07-01 09:10:00,294.123,19.679,292.583,99369.683,294.414,99446.357,
2008-07-01 09:15:00,293.046,12.184,292.650,99372.075,293.057,99446.588,
2008-07-01 09:20:00,294.904,24.620,292.717,99374.467,295.335,99446.107,
2008-07-01 09:25:00,293.212,12.935,292.783,99376.858,293.235,99446.486,
2008-07-01 09:30:00,295.220,26.381,292.850,99379.250,295.693,99445.962,
2008-07-01 09:35:00,293.359,13.536,292.917,99381.642,293.384,99446.388,
2008-07-01 09:40:00,295.239,26.093,292.983,99384.033,295.683,99445.891,
2008-07-01 09:45:00,293.549,14.395,293.050,99386.425,293.570,99446.271,
2008-07-01 09:50:00,295.616,28.217,293.117,99388.817,296.138,99445.751,
2008-07-01 09:55:00,293.627,14.463,293.183,99391.208,293.644,99446.192,
2008-07-01 10:00:00,296.113,31.107,293.250,99393.600,296.694,99445.558,
2008-07-01 10:05:00,293.783,14.968,293.308,99392.033,293.804,99446.095,
2008-07-01 10:10:00,298.598,47.375,293.367,99390.467,299.385,99444.663,
2008-07-01 10:15:00,294.317,17.973,293.425,99388.900,294.355,99445.831,
2008-07-01 10:20:00,297.197,37.129,293.483,99387.333,297.785,99445.049,
2008-07-01 10:25:00,294.505,18.361,293.542,99385.767,294.531,99445.730,
2008-07-01 10:30:00,298.076,42.146,293.600,99384.200,298.834,99444.762,
2008-07-01 10:35:00,294.493,17.313,293.658,99382.633,294.521,99445.695,
2008-07-01 10:40:00,298.202,42.021,293.717,99381.067,298.919,99444.662,
2008-07-01 10:45:00,294.734,17.973,293.775,99379.500,294.762,99445.563,
2008-07-01 10:50:00,298.388,42.294,293.833,99377.933,299.133,99444.566,
2008-07-01 10:55:00,294.814,17.520,293.892,99376.367,294.837,99445.493,
2008-07-01 11:00:00,298.785,43.994,293.950,99374.800,299.567,99444.400,
2008-07-01 11:05:00,294.948,17.378,294.000,99372.275,294.970,99445.404,
2008-07-01 11:10:00,298.974,44.180,294.050,99369.750,299.772,99444.306,
2008-07-01 11:15:00,295.056,17.714,294.100,99367.225,295.075,99445.328,
2008-07-01 11:20:00,299.227,46.798,294.150,99364.700,300.049,99444.192,
2008-07-01 11:25:00,295.158,19.917,294.200,99362.175,295.174,99445.255,
2008-07-01 11:30:00,299.421,49.635,294.250,99359.650,300.255,99444.094,
2008-07-01 11:35:00,295.278,22.259,294.300,99357.125,295.292,99445.176,
2008-07-01 11:40:00,299.600,52.384,294.350,99354.600,300.445,99444.001,
2008-07-01 11:45:00,295.392,24.577,294.400,99352.075,295.403,99445.099,
2008-07-01 11:50:00,299.768,55.089,294.450,99349.550,300.622,99443.910,
2008-07-01 11:55:00,295.509,19.220,294.500,99347.025,295.519,99445.021,
2008-07-01 12:00:00,299.907,49.874,294.550,99344.500,300.765,99443.830,
2008-07-01 12:05:00,295.608,21.405,294.592,99341.833,295.616,99444.953,
2008-07-01 12:10:00,300.031,52.099,294.633,99339.167,300.894,99443.759,
2008-07-01 12:15:00,295.708,23.297,294.675,99336.500,295.715,99444.887,
2008-07-01 12:20:00,300.133,53.916,294.717,99333.833,300.995,99443.694,
2008-07-01 12:25:00,295.806,25.083,294.758,99331.167,295.811,99444.823,
2008-07-01 12:30:00,300.221,55.642,294.800,99328.500,301.081,99443.633,
2008-07-01 12:35:00,295.900,26.846,294.842,99325.833,295.904,99444.759,
2008-07-01 12:40:00,300.290,57.223,294.883,99323.167,301.144,99443.578,
2008-07-01 12:45:00,295.992,28.584,294.925,99320.500,295.995,99444.697,
2008-07-01 12:50:00,300.344,58.705,294.967,99317.833,301.190,99443.526,
2008-07-01 12:55:00,296.085,30.325,295.008,99315.167,296.087,99444.635,
2008-07-01 13:00:00,300.388,60.126,295.050,99312.500,301.225,99443.478,
2008-07-01 13:05:00,296.147,31.796,295.058,99308.708,296.149,99444.595,
2008-07-01 13:10:00,300.357,60.882,295.067,99304.917,301.182,99443.477,
2008-07-01 13:15:00,296.170,32.914,295.075,99301.125,296.172,99444.581,
2008-07-01 13:20:00,300.306,61.498,295.083,99297.333,301.118,99443.483,
2008-07-01 13:25:00,296.192,34.021,295.092,99293.542,296.194,99444.568,
2008-07-01 13:30:00,300.240,62.006,295.100,99289.750,301.036,99443.494,
2008-07-01 13:35:00,296.210,35.098,295.108,99285.958,296.213,99444.556,
2008-07-01 13:40:00,300.165,62.445,295.117,99282.167,300.943,99443.506,
2008-07-01 13:45:00,296.227,36.163,295.125,99278.375,296.230,99444.545,
2008-07-01 13:50:00,300.076,62.792,295.133,99274.583,300.834,99443.523,
2008-07-01 13:55:00,296.242,37.202,295.142,99270.792,296.246,99444.534,
2008-07-01 14:00:00,299.985,63.107,295.150,99267.000,300.722,99443.541,
2008-07-01 14:05:00,296.264,38.231,295.167,99262.892,296.268,99444.519,
2008-07-01 14:10:00,297.940,50.131,295.183,99258.783,298.448,99444.192,
2008-07-01 14:15:00,295.705,35.449,295.200,99254.675,295.659,99444.715,
2008-07-01 14:20:00,298.994,58.299,295.217,99250.567,299.713,99443.926,
2008-07-01 14:25:00,295.787,37.002,295.233,99246.458,295.766,99444.686,
2008-07-01 14:30:00,298.867,58.419,295.250,99242.350,299.555,99443.934,
2008-07-01 14:35:00,295.852,38.419,295.267,99238.242,295.843,99444.658,
2008-07-01 14:40:00,298.409,56.268,295.283,99234.133,298.990,99444.027,
2008-07-01 14:45:00,295.934,39.921,295.300,99230.025,295.915,99444.613,
2008-07-01 14:50:00,298.456,57.530,295.317,99225.917,299.074,99444.021,
2008-07-01 14:55:00,295.857,40.329,295.333,99221.808,295.843,99444.629,
2008-07-01 15:00:00,298.739,60.372,295.350,99217.700,299.377,99443.920,
2008-07-01 15:05:00,295.947,41.781,295.375,99213.908,295.949,99444.592,
2008-07-01 15:10:00,300.360,72.134,295.400,99210.117,301.077,99443.315,
2008-07-01 15:15:00,296.607,47.002,295.425,99206.325,296.640,99444.312,
2008-07-01 15:20:00,298.413,59.627,295.450,99202.533,298.851,99443.868,
2008-07-01 15:25:00,296.478,46.830,295.475,99198.742,296.482,99444.346,
2008-07-01 15:30:00,299.094,64.957,295.500,99194.950,299.621,99443.644,
2008-07-01 15:35:00,296.402,47.014,295.525,99191.158,296.414,99444.360,
2008-07-01 15:40:00,298.747,63.285,295.550,99187.367,299.195,99443.718,
2008-07-01 15:45:00,296.616,49.145,295.575,99183.575,296.629,99444.264,
2008-07-01 15:50:00,298.533,62.504,295.600,99179.783,298.948,99443.760,
2008-07-01 15:55:00,296.554,49.388,295.625,99175.992,296.564,99444.270,
2008-07-01 16:00:00,298.601,63.619,295.650,99172.200,299.003,99443.713,
2008-07-01 16:05:00,296.608,50.187,295.642,99170.333,296.623,99444.247,
2008-07-01 16:10:00,298.306,61.811,295.633,99168.467,298.665,99443.805,
2008-07-01 16:15:00,296.598,50.283,295.625,99166.600,296.613,99444.257,
2008-07-01 16:20:00,298.170,61.012,295.617,99164.733,298.505,99443.848,
2008-07-01 16:25:00,296.549,50.034,295.608,99162.867,296.565,99444.281,
2008-07-01 16:30:00,297.996,59.874,295.600,99161.000,298.302,99443.903,
2008-07-01 16:35:00,296.537,49.956,295.592,99159.133,296.554,99444.292,
2008-07-01 16:40:00,297.791,58.444,295.583,99157.267,298.066,99443.967,
2008-07-01 16:45:00,296.497,49.604,295.575,99155.400,296.515,99444.313,
2008-07-01 16:50:00,297.623,57.170,295.567,99153.533,297.870,99444.021,
2008-07-01 16:55:00,296.460,44.981,295.558,99151.667,296.479,99444.333,
2008-07-01 17:00:00,297.428,51.413,295.550,99149.800,297.647,99444.084,
2008-07-01 17:05:00,296.391,44.362,295.508,99150.700,296.411,99444.376,
2008-07-01 17:10:00,297.183,49.715,295.467,99151.600,297.375,99444.187,
2008-07-01 17:15:00,296.274,43.496,295.425,99152.500,296.295,99444.448,
2008-07-01 17:20:00,296.947,48.008,295.383,99153.400,297.115,99444.290,
2008-07-01 17:25:00,296.163,42.605,295.342,99154.300,296.184,99444.517,
2008-07-01 17:30:00,296.712,45.191,295.300,99155.200,296.857,99444.393,
2008-07-01 17:35:00,296.042,39.058,295.258,99156.100,296.064,99444.590,
2008-07-01 17:40:00,296.504,40.610,295.217,99157.000,296.631,99444.489,
2008-07-01 17:45:00,295.906,34.969,295.175,99157.900,295.927,99444.668,
2008-07-01 17:50:00,296.301,36.075,295.133,99158.800,296.414,99444.584,
2008-07-01 17:55:00,295.770,0.016,295.092,99159.700,295.790,99444.746,
2008-07-01 18:00:00,296.067,0.016,295.050,99160.600,296.167,99444.692,
2008-07-01 18:05:00,295.591,0.016,295.008,99161.417,295.609,99444.840,
2008-07-01 18:10:00,295.899,0.016,294.967,99162.233,295.989,99444.777,
2008-07-01 18:15:00,295.465,0.016,294.925,99163.050,295.482,99444.914,
2008-07-01 18:20:00,295.718,0.016,294.883,99163.867,295.796,99444.866,
2008-07-01 18:25:00,295.331,0.016,294.842,99164.683,295.345,99444.991,
2008-07-01 18:30:00,295.530,0.016,294.800,99165.500,295.598,99444.958,
2008-07-01 18:35:00,295.171,0.016,294.758,99166.317,295.181,99445.075,
2008-07-01 18:40:00,295.348,0.016,294.717,99167.133,295.403,99445.047,
2008-07-01 18:45:00,295.042,0.016,294.675,99167.950,295.049,99445.149,
2008-07-01 18:50:00,295.208,0.016,294.633,99168.767,295.257,99445.124,
2008-07-01 18:55:00,294.932,0.016,294.592,99169.583,294.938,99445.218,
2008-07-01 19:00:00,295.080,0.016,294.550,99170.400,295.125,99445.197,
2008-07-01 19:05:00,294.843,0.016,294.525,99174.908,294.848,99445.273,
2008-07-01 19:10:00,294.986,0.016,294.500,99179.417,295.027,99445.247,
2008-07-01 19:15:00,294.770,0.016,294.475,99183.925,294.775,99445.317,
2008-07-01 19:20:00,294.894,0.016,294.450,99188.433,294.930,99445.296,
2008-07-01 19:25:00,294.699,0.016,294.425,99192.942,294.704,99445.360,
2008-07-01 19:30:00,294.806,0.016,294.400,99197.450,294.838,99445.343,
2008-07-01 19:35:00,294.630,0.016,294.375,99201.958,294.634,99445.403,
2008-07-01 19:40:00,294.722,0.016,294.350,99206.467,294.751,99445.390,
2008-07-01 19:45:00,294.562,0.016,294.325,99210.975,294.566,99445.445,
2008-07-01 19:50:00,294.641,0.016,294.300,99215.483,294.667,99445.435,
2008-07-01 19:55:00,294.495,0.016,294.275,99219.992,294.499,99445.487,
2008-07-01 20:00:00,294.562,0.016,294.250,99224.500,294.585,99445.480,
2008-07-01 20:05:00,294.443,0.016,294.242,99226.642,294.447,99445.517,
2008-07-01 20:10:00,294.516,0.016,294.233,99228.783,294.536,99445.502,
2008-07-01 20:15:00,294.412,0.016,294.225,99230.925,294.415,99445.534,
2008-07-01 20:20:00,294.475,0.016,294.217,99233.067,294.493,99445.522,
2008-07-01 20:25:00,294.382,0.016,294.208,99235.208,294.385,99445.551,
2008-07-01 20:30:00,294.436,0.016,294.200,99237.350,294.452,99445.541,
2008-07-01 20:35:00,294.353,0.016,294.192,99239.492,294.355,99445.568,
2008-07-01 20:40:00,294.399,0.016,294.183,99241.633,294.414,99445.559,
2008-07-01 20:45:00,294.325,0.016,294.175,99243.775,294.327,99445.584,
2008-07-01 20:50:00,294.365,0.016,294.167,99245.917,294.377,99445.577,
2008-07-01 20:55:00,294.297,0.020,294.158,99248.058,294.299,99445.600,
2008-07-01 21:00:00,294.331,0.020,294.150,99250.200,294.342,99445.595,
2008-07-01 21:05:00,294.264,0.020,294.133,99247.958,294.266,99445.621,
2008-07-01 21:10:00,294.284,0.020,294.117,99245.717,294.294,99445.623,
2008-07-01 21:15:00,294.220,0.020,294.100,99243.475,294.222,99445.648,
2008-07-01 21:20:00,294.237,0.020,294.083,99241.233,294.246,99445.651,
2008-07-01 21:25:00,294.178,0.020,294.067,99238.992,294.179,99445.675,
2008-07-01 21:30:00,294.192,0.020,294.050,99236.750,294.200,99445.679,
2008-07-01 21:35:00,294.136,0.020,294.033,99234.508,294.137,99445.702,
2008-07-01 21:40:00,294.147,0.020,294.017,99232.267,294.154,99445.706,
2008-07-01 21:45:00,294.094,0.020,294.000,99230.025,294.096,99445.728,
2008-07-01 21:50:00,294.103,0.020,293.983,99227.783,294.110,99445.734,
2008-07-01 21:55:00,294.054,0.011,293.967,99225.542,294.054,99445.755,
2008-07-01 22:00:00,294.060,0.011,293.950,99223.300,294.066,99445.761,
2008-07-01 22:05:00,294.013,0.011,293.933,99219.550,294.014,99445.781,
2008-07-01 22:10:00,294.018,0.011,293.917,99215.800,294.024,99445.787,
2008-07-01 22:15:00,293.974,0.011,293.900,99212.050,293.974,99445.807,
2008-07-01 22:20:00,293.976,0.011,293.883,99208.300,293.981,99445.814,
2008-07-01 22:25:00,294.012,0.011,293.867,99204.550,294.011,99445.803,
2008-07-01 22:30:00,293.984,0.011,293.850,99200.800,293.989,99445.822,
2008-07-01 22:35:00,293.955,0.011,293.833,99197.050,293.952,99445.834,
2008-07-01 22:40:00,293.938,0.011,293.817,99193.300,293.943,99445.850,
2008-07-01 22:45:00,293.904,0.011,293.800,99189.550,293.899,99445.864,
2008-07-01 22:50:00,293.895,0.011,293.783,99185.800,293.900,99445.877,
2008-07-01 22:55:00,293.854,0.011,293.767,99182.050,293.848,99445.893,
2008-07-01 23:00:00,293.953,0.011,293.750,99178.300,293.959,99445.869,
2008-07-01 23:05:00,293.933,0.011,293.717,99180.267,293.940,99445.886,
2008-07-01 23:10:00,293.920,0.011,293.683,99182.233,293.931,99445.905,
2008-07-01 23:15:00,293.874,0.011,293.650,99184.200,293.882,99445.932,
2008-07-01 23:20:00,293.850,0.011,293.617,99186.167,293.862,99445.953,
2008-07-01 23:25:00,293.803,0.011,293.583,99188.133,293.811,99445.981,
2008-07-01 23:30:00,293.776,0.011,293.550,99190.100,293.788,99446.004,
2008-07-01 23:35:00,293.730,0.011,293.517,99192.067,293.739,99446.031,
2008-07-01 23:40:00,293.702,0.011,293.483,99194.033,293.714,99446.054,
2008-07-01 23:45:00,293.657,0.011,293.450,99196.000,293.666,99446.081,
2008-07-01 23:50:00,293.628,0.011,293.417,99197.967,293.640,99446.104,
2008-07-01 23:55:00,293.583,0.009,293.383,99199.933,293.593,99446.131,
2008-07-02 00:00:00,293.555,0.009,293.350,99201.900,293.566,99446.154,
2008-07-02 00:05:00,293.396,0.009,293.092,99199.367,293.411,99446.295,
2008-07-02 00:10:00,293.197,0.009,292.833,99196.833,293.218,99446.460,
2008-07-02 00:15:00,292.971,0.009,292.575,99194.300,292.992,99446.633,
2008-07-02 00:20:00,292.764,0.009,292.317,99191.767,292.791,99446.801,
2008-07-02 00:25:00,292.523,0.009,292.058,99189.233,292.549,99446.978,
2008-07-02 00:30:00,292.081,0.009,291.800,99186.700,292.106,99447.235,
2008-07-02 00:35:00,291.704,0.009,291.542,99184.167,291.717,99447.462,
2008-07-02 00:40:00,291.500,0.009,291.283,99181.633,291.521,99447.632,
2008-07-02 00:45:00,291.227,0.009,291.025,99179.100,291.244,99447.822,
2008-07-02 00:50:00,291.023,0.009,290.767,99176.567,291.049,99447.993,
2008-07-02 00:55:00,290.746,0.009,290.508,99174.033,290.767,99448.185,
2008-07-02 01:00:00,290.544,0.009,290.250,99171.500,290.575,99448.355,
2008-07-02 01:05:00,290.515,0.009,290.283,99172.217,290.539,99448.353,
2008-07-02 01:10:00,290.577,0.009,290.317,99172.933,290.606,99448.321,
2008-07-02 01:15:00,290.562,0.009,290.350,99173.650,290.584,99448.311,
2008-07-02 01:20:00,290.626,0.009,290.383,99174.367,290.653,99448.279,
2008-07-02 01:25:00,290.613,0.009,290.417,99175.083,290.633,99448.268,
2008-07-02 01:30:00,290.677,0.009,290.450,99175.800,290.703,99448.236,
2008-07-02 01:35:00,290.667,0.009,290.483,99176.517,290.685,99448.224,
2008-07-02 01:40:00,290.730,0.009,290.517,99177.233,290.755,99448.192,
2008-07-02 01:45:00,290.722,0.009,290.550,99177.950,290.739,99448.180,
2008-07-02 01:50:00,290.784,0.009,290.583,99178.667,290.807,99448.148,
2008-07-02 01:55:00,290.777,0.009,290.617,99179.383,290.794,99448.136,
2008-07-02 02:00:00,290.838,0.009,290.650,99180.100,290.861,99448.104,
2008-07-02 02:05:00,290.965,0.009,290.633,99178.075,290.994,99448.067,
2008-07-02 02:10:00,291.126,0.009,290.617,99176.050,291.173,99448.023,
2008-07-02 02:15:00,291.091,0.009,290.600,99174.025,291.137,99448.038,
2008-07-02 02:20:00,291.128,0.009,290.583,99172.000,291.188,99448.038,
2008-07-02 02:25:00,291.056,0.009,290.567,99169.975,291.101,99448.063,
2008-07-02 02:30:00,291.092,0.009,290.550,99167.950,291.152,99448.063,
2008-07-02 02:35:00,291.020,0.009,290.533,99165.925,291.066,99448.088,
2008-07-02 02:40:00,291.054,0.009,290.517,99163.900,291.114,99448.090,
2008-07-02 02:45:00,290.981,0.009,290.500,99161.875,291.028,99448.115,
2008-07-02 02:50:00,291.013,0.009,290.483,99159.850,291.074,99448.116,
2008-07-02 02:55:00,290.943,0.009,290.467,99157.825,290.990,99448.141,
2008-07-02 03:00:00,290.972,0.009,290.450,99155.800,291.033,99448.143,
2008-07-02 03:05:00,290.907,0.009,290.442,99153.817,290.954,99448.164,
2008-07-02 03:10:00,290.937,0.009,290.433,99151.833,290.997,99448.164,
2008-07-02 03:15:00,290.872,0.009,290.425,99149.850,290.919,99448.184,
2008-07-02 03:20:00,290.898,0.009,290.417,99147.867,290.957,99448.183,
2008-07-02 03:25:00,290.837,0.009,290.408,99145.883,290.882,99448.202,
2008-07-02 03:30:00,290.863,0.009,290.400,99143.900,290.919,99448.202,
2008-07-02 03:35:00,290.804,0.009,290.392,99141.917,290.849,99448.220,
2008-07-02 03:40:00,290.828,0.009,290.383,99139.933,290.883,99448.220,
2008-07-02 03:45:00,290.772,0.009,290.375,99137.950,290.816,99448.237,
2008-07-02 03:50:00,290.795,0.009,290.367,99135.967,290.848,99448.237,
2008-07-02 03:55:00,290.741,0.009,290.358,99133.983,290.784,99448.254,
2008-07-02 04:00:00,290.763,0.009,290.350,99132.000,290.815,99448.254,
2008-07-02 04:05:00,290.736,0.009,290.375,99131.600,290.778,99448.252,
2008-07-02 04:10:00,290.796,0.009,290.400,99131.200,290.847,99448.225,
2008-07-02 04:15:00,290.623,0.009,290.425,99130.800,290.648,99448.264,
2008-07-02 04:20:00,290.595,0.009,290.450,99130.400,290.615,99448.264,
2008-07-02 04:25:00,290.608,0.009,290.475,99130.000,290.625,99448.250,
2008-07-02 04:30:00,290.654,0.009,290.500,99129.600,290.674,99448.225,
2008-07-02 04:35:00,290.669,0.009,290.525,99129.200,290.687,99448.210,
2008-07-02 04:40:00,290.715,0.009,290.550,99128.800,290.736,99448.186,
2008-07-02 04:45:00,290.733,0.009,290.575,99128.400,290.752,99448.169,
2008-07-02 04:50:00,290.781,0.009,290.600,99128.000,290.803,99448.144,
2008-07-02 04:55:00,290.800,0.016,290.625,99127.600,290.821,99448.127,
2008-07-02 05:00:00,290.850,0.016,290.650,99127.200,290.874,99448.102,
